time,rank,song_id,title,singers,album,date,genre,creator,lyric
2006.10.23~10.29,1,1459449,까만안경 (Feat. Day Light),"이루,Daylight",이루 LEVEL II,2006.10.09,Ballad,윤명선,까만 안경을 써요 아주 까만 밤인데 말이죠   앞이 보이지 않아도  괜찮아요 나는 울고 싶을 뿐이죠  한 여자가 떠나요 너무나 사랑했었죠  그래요 내 여자에요 내 가슴 속에서 울고 있는 여자  사랑해요 나도 울고 있어요 오 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요  미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요 제발요  한 여자가 떠나요 너무나 사랑했었죠  그래요 내 여자에요 내 가슴 속에서 울고 있는 여자  사랑해요 나도 울고 있어요 오 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요  미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요  사랑해요 나도 울고 있어요 난 보고 싶어서 만나고 싶어서 차라리 죽고만 싶어요  미안해요 잘해주지 못한 나지만 이별까지도 사랑할거에요 행복한 사람이 되어주세요 제발요
2006.10.23~10.29,2,1467722,거리에서,성시경,The Ballads,2006.10.10,Ballad,윤종신,니가 없는 거리에는
2006.10.23~10.29,3,1417550,운다,손호영,손호영 1집 Yes,2006.09.13,Ballad,박선주(PakSunZoo),술집 문을 연다 술잔에 널 띄워 본다 환하게 웃는다 날 보며 웃는다 여전히  거짓말을 한다 난 괜찮은 놈이라고 다짐도 해본다 난 잘 지낼거란 또 그 말  마음이 아파 죽을 것만 같아도 보고싶어 죽을 것만 같아도 무릎꿇고 매달리며 다시 돌아와달라고 그 한마디도 하지 못하는  내가 싫어 운다 보고 싶어서 또 운다 후회되서 울고 이런 내가 싫어 또 운다 마음을 머리로 속여보려한다  추억 눈물로 녹여보려한다 미움마저 가져가서 행복마저 빌고마는 참 바보같은 게 남자라서 또 운다  나 취해야 이렇게 겨우 한번 부른다 몇천번쯤 불러 봤던 내것이었던 너  마음이 아파 죽을 것만 같아도 보고 싶어 죽을 것만 같아도 무릎 꿇고 매달리며 다시 돌아와달라고 그 한마디를 못하는 내가 싫어  마음을 머리로 속여보려 해도 추억 눈물로 녹여보려 해도 미움마저 가져가서 행복마저 빌고마는 참 바보같은 게 남자라서 또 운다 술에 취해
2006.10.23~10.29,4,1454808,아이스크림,MC몽,The Way I Am,2006.09.25,Rap / Hip-hop,김건우,I will love you think about you 달콤했던 우리 사랑 I will love you think about you  잊지는 마  forever be with you 동서남북 어디에서도 나란 얼간이는 없다고 그래도 너 하나만 사랑한다고 쉽게 녹아 버린 네 마음  상처받은 MC몽 사랑은 아아아아 아이스크림 널 처음 봤을 때부터 심장은 얼어붙어 달콤한 향기에 뜨겁게 밀어붙여 늑대들아 저리 비켜 아무나 붙어 이 여잔 이미 내 꺼니까 저리 비켜 나는야 사랑에 목마른 나그네 들뜬 내 마음에 네 얼굴을 그리네  굳게 닫힌 니 마음이 녹아버리게 버리게 빠르게 믿음을 확인시켜줄게 오늘 밤이 너무 짧아 아쉬워서 못 보내고 네 다리가 아플까봐  너를 업고 집에 가고 누가 봐도 상관없어 내 옆에는 니가 있어 너 하나만 사랑한다고 I wanna spend my whole life with you 네가 없으면 안 되는  내 아픈 이유 Everytime I look at U 사랑해 I love you oh thank you 동서남북 어디에서도 나란 얼간이는 없다고 그래도 너 하나만 사랑한다고 쉽게 녹아 버린 네 마음  상처받은 MC몽 사랑은 아아아아 아이스크림 I will love you think about you 달콤했던 우리 사랑 I will love you think about you  잊지는 마  forever be with you make it hot 우리는 뜨겁게 make it hot 사랑을 나눴네 스트로베리보다 상큼했던 그녀 초콜릿보다 달콤했던 그년데 불 같은 사랑은 금방 식어버린 믿음은 얼음처럼 금방 녹아버린 시리고 시린 쉽게 질려버린 도대체 뭐를 원해 do you want it like that Break up to make up make up to break up 깨지고 화해하고 다시 또 차버리고 처음부터 꼬여왔던 우리 작은 trouble 누가 이기고 지느냐가 너는 중요해 상처투성인 mc몽 네가 떠나서 나는 지친 몸  오늘 밤 꿈을 꿨어 너와 함께 living it up 외로움에 치를 떨어 오늘 밤이 너무 길어 동서남북 어디에서도 나란 얼간이는 없다고 그래도 너 하나만 사랑한다고 쉽게 녹아 버린 네 마음  상처받은 MC몽 사랑은 아아아아 아이스크림 I will love you think about you 달콤했던 우리 사랑 I will love you think about you  잊지는 마  forever be with you I got your back you got my back Everynight oh every day 사랑이 이렇게 차갑게 느껴진 적 없었어 I got your back you got my back Everynight oh every day 너를 위해 웃을게 사랑해 널 위해 사는 나 동서남북 어디에서도 나란 얼간이는 없다고 그래도 너 하나만 사랑한다고 쉽게 녹아 버린 네 마음  상처받은 MC몽 사랑은 아아아아 아이스크림 짜잔
2006.10.23~10.29,5,1456717,소리쳐,이승철,Reflection Of Sound,2006.09.26,Ballad,"JorgenElofsson,JohnReid,홍진영",많이 생각날텐데 많이 그리울텐데 많이 힘겨울텐데 많이 아파올텐데 눈을 감아보아도 너만 떠오를텐데 정말 보고 싶어서 그냥 혼자 소리쳐 많이 생각날텐데 많이 그리울텐데 많이 힘겨울텐데 많이 아파올텐데 니가 보고싶어서 숨이 막힐것 같아 정말 보고 싶을땐 그냥 혼자 소리쳐 널 가슴에 품고 난 살아가겠지 서로 모른척하며 서로 잊은척하며  가지말라고 소리쳐 가지말라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 돌아오라고 소리쳐 돌아오라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 소리쳐  널 가슴에 품고 난 살아가겠지 서로 모른척하며 서로 잊은척하며  가지말라고 소리쳐 가지말라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 돌아오라고 소리쳐 돌아오라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 가지말라고 소리쳐 가지말라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 돌아오라고 소리쳐 돌아오라고 말했어 사랑한다고 사랑한다고 사랑한다고 너만을 소리쳐
2006.10.23~10.29,6,1472024,I`m Coming (Feat. Tablo),비,Rain`s World,2006.10.13,Dance,박진영,아직도 나를 움직이는 힘은 아직도 나 배고파하는 그 이유는 나의 마음속 깊이 자리잡은 두려움이야 쓰러질 때마다 내게 들려오는 목소리 아직은 쉴 때가 아냐 힘들었던 땔 잊지마 지쳐있는 나의 몸을 다시 깨우는 소리 니가 원하던 거잖아 니가 한 약속 잊지마 거칠어진 호흡을 다시 한 번 가다듬고 간다 Rain is coming down through the roof top 또 비가 내린다 모든걸 적신다 Rain is coming down and it won't stop 너무나 뜨겁다 멈추질 않는다 Let me tell you the story 멈출 것같던 내 심장은 아직도 또 뛰고 있고 풀렸던 내 다리와 지친 어깨가 다시 살아나 Once again standing tall Everybody get ready tonight Me and my boys on a ride Smelling feeling so right You know how we do it Must get it together tonight with my moves real tight Make sure I come with the best of the best of the best come on Rain is coming down through the roof top 또 비가 내린다 모든걸 적신다 Rain is coming down and it won't stop 너무나 뜨겁다 멈추질 않는다 Rain is coming down through the roof top 또 비가 내린다 모든걸 적신다 Rain is coming down and it won't stop 너무나 뜨겁다 멈추질 않는다  Tablo go go let's go 볼륨을 높이고 거친 폭풍의 눈초리로 Rain 세계적인 소리로 seoul city beijing to Tokyo 세상이 다 손을 위로 비 비 비로 마른 땅에 꽃 피고 say ho ho It's VIP supreme T and 비 and JYP Rain is coming down through the roof top 또 비가 내린다 모든걸 적신다 Rain is coming down and it won't stop 너무나 뜨겁다 멈추질 않는다 Rain is coming down through the roof top 또 비가 내린다 모든걸 적신다 Rain is coming down and it won't stop 너무나 뜨겁다 멈추질 않는다
2006.10.23~10.29,7,1466870,울지마,버즈,Buzz Digital Single,2006.10.13,Rock,민경훈,울지마 가슴아 가슴아 울지마 행복해 행복해야해  뛰지않죠 이미 내 심장 죽었는데 널 잃은 슬픔 이제 잊어야 하는데 사랑한만큼 나의 마음은 나의 가슴은 울고 있었지  울지마 가슴아 가슴아 울지마 사랑 때문에 슬퍼하지마 난 말할 수 있어 너를 잊었다는 말 거짓이 아니라는걸 추억으로 간직해 우리 만남은 그저 스치는 인연이었을뿐  떨고 있죠 지금 내 입술 흐느끼죠 내 입술로 그대 이름을 부르죠 사랑한다고 보고싶다고 가지말라고 울고 있었지 울지마 가슴아 가슴아 울지마 사랑 때문에 슬퍼하지마 난 말할 수 있어 널 잊었다는 말 거짓이 아니라는걸 추억으로 간직해 우리 만남은 그저 스치는 인연이었을뿐 그 어떤 빛보다도 환한 니 미소 다시 볼 수만 있다면  내 가슴 웃을텐데  하늘에 기도해 널 보내 달라고 제발 나에게 기회를 달라고 목놓아 부르면 애타게 부르면 다시 그대가 돌아올 것 같아 찢어지는 내 가슴 위로받을래 세상에 단 하나뿐인 너에게
2006.10.23~10.29,8,1469335,Never Mind,빅마마,For The People,2006.10.13,R&B / Soul,이승민,흔해 빠진 거짓말 안 들어도 뻔한 말 전부 내 눈에는 보여 내 앞에서 절대 못 속여 삶에 얽힌 인연도 운명 같은 시작도 결코 어긋나진 않아 언젠가는 다시 돌아와 애써 외면하지마 태연히 받아들여 모두다 조심스레 한번더 잘 생각해봐 못 본 척 하고 혼자 지우면 돼 속는 셈 치고 한번 봐주면 돼 그냥 네 뜻대로 살아가도 상관없어 겁내지 말고 신경 쓰지도 마 한 두번 겪은 일도 아니잖아 돌아봐 미련도 후회도 없잖아 두려워 하지마  옳고 그른 사랑도 무심코 하다 보면 알잖아 서툰 변명 따위로 핑계대지 마 못 본 척 하고 혼자 지우면 돼 속는 셈 치고 한번 봐주면 돼 그냥 네 뜻대로 살아가도 상관없어 겁내지 말고 신경 쓰지도 마 한 두번 겪은 일도 아니잖아 돌아봐 미련도 후회도 없잖아 현명한 선택도 돌아 올 시련도 혼자서 마음먹기 나름이야 또 하루 이틀 말없이 흘러가듯 내버려둬  고민하지마 너만 믿으면 돼 작은 실수는 날려 버리면 돼 가끔 힘이 들고 서러워도 잊어버려 뒤돌아보고 실컷 울어도 돼 차마 못한 말 혼자 다 해도 돼 괜찮아 또 다른 기회도 많잖아 널 한번 믿어봐 편하게 웃어봐 못 본 척 하고 혼자 지우면 돼 속는 셈 치고 한번 봐주면 돼 그냥 네 뜻대로 살아가도 상관없어 겁내지 말고 신경 쓰지도 마 한 두번 겪은 일도 아니잖아 돌아봐 미련도 후회도 없잖아 두려워 하지마 한번 더 시작해
2006.10.23~10.29,9,1416892,제발,이승기,남자가 여자를 사랑할 때,2006.09.12,Ballad,이소라,잊지 못해 너를 있잖아 아직도 눈물 흘리며 널 생각해 늘 참지 못하고 투정부린거 미안해 나만 원한다고 했잖아 그렇게 웃고 울었던 기억들이 다른 사랑으로 잊혀져 지워지는게 난 싫어  어떻게든 다시 돌아오길 부탁해 처음으로 다시 돌아가길 바랄게 기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 제발  모든걸 말할 수 없잖아 마지막 얘길 할테니 좀 들어봐 많이 사랑하면 할수록 화만 내서 더 미안해 어떻게든 다시 돌아오길 부탁해 처음으로 다시 돌아가길 바랄께 기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 잊지말고 다시 돌아오길 부탁해 헤어지면 가슴 아플거라 생각해 기다릴게 너를 하지만 너무 늦어지면은 안돼 멀어지지마 더 가까이 제발  제발 제발 제발
2006.10.23~10.29,10,1374075,Timeless (Feat. 시아준수),장리인(ZhangLiYin),Timeless,2006.09.08,Ballad,,안돼요 날 놓아 버리면 힘들어도 여기 더 머물러요 조금만 더 볼 수 있다면 남은 사랑만큼 웃어볼텐데 Timeless 이별은 아니죠 한번의 삶이라면 지금 뿐인데 Hold tight baby timeless 이 가슴에 묻어요 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timeless love 세상을 따라 난 가지만 슬픔마저 함께 가는 건가요  너무 그리웠던 날 불러본 그대 마음뿐의 상처는 아물겠죠 천번에  눈물 삼키면 그때서야 알게 될까요 내 손 잡아요 떠나게 말아요 Timeless 이별은 아니죠 한번의 삶이라면 지금 뿐인데 Hold tight baby timeless 이 가슴에 묻어요 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timless love  yeah  baby is timeless Hold tight baby timeless 돌아갈 수 있도록 순간의 열병처럼 잠시만 아플 뿐이니 We both agree this is timeless this is timeless love
