time,rank,song_id,title,singers,album,date,genre,creator,lyric
1987.10.01~10.07,1,4310871,풀잎사랑,최성수,"1집 남남, 애수",-,Ballad,,싱그런 아침 햇살이  풀잎에 맺힌 이슬 비칠 때면 부시시 잠 깬 얼굴로  해맑은 그대 모습 보았어요 푸르른 나래는 더욱 더  사랑하는 마음 알았지만 햇살에 눈부신 이슬은  차라리 눈을 감고 말았어요 그대는 풀잎 나는 이슬  그대는 이슬 나는 햇살 사랑해 그대만을  우리는 풀잎사랑  그대는 풀잎 풀잎 풀잎  나는 이슬 이슬 이슬 그대는 이슬 이슬 이슬  나는 햇살 햇살 햇살 사랑해 그대만을  우리는 풀잎사랑 빛나던 노을 빛 사랑도  칸칸이 스러지고 말았지만 어둠을 홀로 밝히는  나의 사랑 변함 없어요 그대는 풀잎 나는 이슬  그대는 이슬 나는 햇살  사랑해 그대만을  우리는 풀잎사랑 그대는 풀잎 풀잎 풀잎  나는 이슬 이슬 이슬 그대는 이슬 이슬 이슬  나는 햇살 햇살 햇살 사랑해 그대만을  우리는 풀잎사랑 우리는 풀잎사랑  우리는 풀잎사랑
1987.10.01~10.07,2,1010296,사랑하기에,이정석,사랑하기에...,1987.05.01,Ballad,조정열,사랑하기에 떠나신다니  그 말 나는 믿을 수 없어  사랑한다면 왜 헤어져야 해  그 말 나는 믿을 수 없어  하얀 찻잔을 사이에 두고  그대에게 하고 싶은 말  사랑한다는 말 하기도 전에  떠나가면 나는 어떡해  홀로 애태웠던 많은 노래가  오늘 이 밤 다시 들릴듯 한데  그 많았던 순간 우리의 얘기  저 하늘에 그대 가슴에 들릴듯 한데  날 사랑한다면 왜 떠나가야해  나에겐 아직도 할말이 많은데  정녕 내 곁을 떠나가야 한다면  말 없이 보내드리겠어요  하지만 나는 믿을 수 없어요  그대 떠난다는 말이  사랑하기에 떠나신다는 그 말  나는 믿을 수 없어요   홀로 애태웠던 많은 노래가  오늘 이 밤 다시 들릴듯 한데  그 많았던 순간 우리의 얘기  저 하늘에 그대 가슴에 들릴듯 한데  날 사랑한다면 왜 떠나가야해  나에겐 아직도 할말이 많은데  정녕 내 곁을 떠나가야 한다면  말 없이 보내드리겠어요  하지만 나는 믿을 수 없어요  그대 떠난다는 말이  사랑하기에 떠나신다는 그 말  나는 믿을 수 없어요
1987.10.01~10.07,3,4344555,나홀로 뜰 앞에서,김완선,2집 나홀로 뜰 앞에서 (재발매),1987.05.07,Dance,,
1987.10.01~10.07,4,68158,하늘이여,김학래,김학래 전집,1989,Ballad,김학래,하얀별 쏟아지는 창밖을 보며 두손모아 촛불켜고 기도하였다네 슬픔에 찬 웃음으로 나를 보낸 님아 사무치는 그리움은 나 어이하나 따뜻한 햇빛에 나 시인되어 슬픈추억 삼키려 홀로 방황했네 내 생애 단한번 그대 사랑하리 하지만 연기처럼 재가 되었네 나의 소원 그대사람 단한번만 다시품고 피어나게 하여주 하 하늘이여 나의 소원 들어주소서 이 이 한세상 나 어이 살아가려오 하 하늘이여 나의 소원 태워주소서 단 단 한번만 내 사랑 피어나게 하여주  나의 소원 그대사람 단한번만 다시품고 피어나게 하여주 하 하늘이여 나의 소원 들어주소서 이 이 한세상 나 어이 살아가려오 하 하늘이여 나의 소원 태워주소서 단 단 한번만 내 사랑 피어나게 하여주 하 하늘이여 나의 소원 태워주소서 단 단 한번만 내 사랑 피어나게 하여주
1987.10.01~10.07,5,91350,세월 가면,이광조,이광조 History (가까이 하기엔 너무 먼 당신),1989,Ballad,이영훈,세월가면 그 모습을 잊을까 그토록 다정했던 모습을 차가운 저녁 바람에 비는 내 몸 적시네 이대로 나도 그대 잊을까 밤이 가면 그 모습을 잊을까 그토록 사랑했던 모습을 그대를 따라 이 마음 하늘 멀리 저 편에 비 되어 나도 그대 잊을까 그리우면 적어본 그대 이름만 차가운 이 방에 가득하오 잊을 수 없어라 흐르는 내 눈물이 그대 이름에 얼룩지네 밤이 가면 그 모습을 잊을까 그토록 사랑했던 모습을 그대를 따라 이 마음 하늘 멀리 저편에 비 되어 나도 그대 잊을까  그리우면 적어본 그대 이름만 차가운 이 방에 가득하오 잊을 수 없어라 흐르는 내 눈물이 그대 이름에 얼룩지네 밤이 가면 그 모습을 잊을까 그토록 사랑했던 모습을 그대를 따라 이 마음 하늘 멀리 저 편에 비 되어 나도 그대 잊을까
1987.10.01~10.07,6,52533,그날,김연숙,홀로 남으면,1987.10,Adult Contemporary,이철식,언덕위에 손잡고  거닐던 길목도 아스라이  멀어져 간 소중했던 옛 생각을  돌이켜 그려보네   나래치는 가슴이  서러워 아파와 한숨지며  그려보는 그 사람을 기억하나요  지금 잠시라도   달의 미소를 보면서  내 너의 두 손을 잡고  두나 별들의 눈물을 보았지  고요한 세상을 우  우우우우 우우우 우우우우   한아름에 꽃처럼  보여지며 던진 내 사랑에  웃음지며 님의 소식 전한 마음  한없이 보내본다    달의 미소를 보면서  내 너의 두 손을 잡고  두나 별들의 눈물을 보았지  고요한 세상을 우  우우우우 우우우 우우우우   한아름에 꽃처럼  보여지며 던진 내 사랑에  웃음지며 님의 소식 전한 마음  한없이 보내본다 -
1987.10.01~10.07,7,48560,사랑이 지나가면,이문세,이문세 골든 15,1987,Ballad,이영훈,(1절)  그 사람 나를 보아도  나는 그 사람을 몰라요  두근거리는 마음은 아파도  이젠 그대를 몰라요  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면  그렇게 보고 싶던 그 얼굴을  그저 스쳐 지나며  그대의 허탈한 모습 속에  나 이젠 후회 없으니  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면    (2절)  그렇게 보고싶던 그얼굴을  그저 스쳐 지나며  그대의 허탈한 모습속에  나 이젠 후회없으니  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면    사랑이 지니가면
1987.10.01~10.07,8,27189,개똥벌레,신형원,신형원 베스트 1982-2000,2000.09.05,Folk,한돌,아무리 우겨봐도 어쩔 수 없네  저기 개똥무덤이 내 집인걸  가슴을 내밀어도 친구가 없네  노래하던 새들도 멀리 날아가네   가지마라 가지마라 가지말아라  나를 위해 한번만 노래를 해주렴  난나~나나나나~쓰라린 가슴 앉고  오늘밤도 그렇게 울다 잠이든다   마음을 다주어도 친구가 없네  사랑하고 싶지만 마음뿐인 걸  나는 개똥벌레 어쩔수없네  손을 잡고 싶지만 모두 떠나가네   가지마라 가지마라 가지말아라  나를 위해 한번만 손을 잡아주렴  아아 외로운 밤 쓰라린 가슴앉고  오늘밤도 그렇게 울다 잠이든다   가지마라 가지마라 가지말아라  나를 위해 한번만 손을 잡아주렴  아아 외로운밤 쓰라린 가슴앉고  오늘밤도 그렇게 울다 잠이든다  울다 잠이든다   오늘밤도 그렇게 울다 잠이든다...
1987.10.01~10.07,9,2920158,외로워 외로워,구창모,感 (감),1987,Rock,,
1987.10.01~10.07,10,2036560,너,해바라기,89 해바라기 (사랑으로 / 사랑의 진실 / 나는 자유인인가),1989.12.01,Folk,이주호,너 너의 그리움은 사랑 알게 했고 너의 젖은 눈은 눈물 알게 했고 내겐 하나뿐인 너 난 사랑한다고 말을 하고픈데 슬픈 이별도 사랑이라고 얘기 해주던 너 떠나 보낼 수 있는 마음이 생기질 않아 우린 눈물로 지루한 밤을 새워야 하나 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘 너 너의 그리움은 사랑 알게 했고 너의 젖은 눈은 눈물 알게 했고 내겐 하나뿐인 너 난 사랑한다고 말을 하고픈데 슬픈 이별도 사랑이라고 얘기 해주던 너 떠나 보낼 수 있는 마음이 생기질 않아 우린 눈물로 지루한 밤을 새워야 하나 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘 잃어버린 눈물 잃어버린 세월 잃어버린 내 청춘
