time,rank,song_id,title,singers,album,date,genre,creator,lyric
1999.06.13~06.19,1,82633,영원한 사랑,핑클,White,1999.05,Dance,김영아,이젠 내 사랑이 되어줘  내 모든걸 너에게 기대고 싶어   언제나 날 지켜줄 너라고  변치않는 영원한 사랑을 약속해줘   내겐 자신없는 듯 니 사랑을  감추며 돌아서지마 불안한 네 미래도  앞선 걱정일 뿐이야   좀더 나은 모습의 니가 되길  바라는 욕심은 없어 지금 네 사랑이면  난 정말 행복해   항상 나의곁에 있어줘  꼭 네게만 내꿈을 맡기고 싶어   들어봐 언제까지 내맘에 하나뿐인  소중한 그사람 너뿐이야   우리 함께 걸어갈 시간들이  어쩌면 힘들지 몰라   하지만 누구보다 너를 믿어줄 나잖아  이젠 네게 주고픈 소망들을  조금은 알수 있겠니 내 작은 가슴가득  너만을 사랑해   항상 나의곁에 있어줘  꼭 네게만 내꿈을 맡기고 싶어   들어봐 언제까지 내맘에  하나뿐인 소중한 그사람   내 두눈을 봐 이렇게 너의품에 안긴 내맘  그 누구보다 행복해   먼훗날 우리 눈감는 날까지  지금처럼 네사랑 내곁에   함께해줘
1999.06.13~06.19,2,611573,오직 너뿐인 나를…,이승철,6집 1999 & Live Best,1999.03.21,Ballad,이승철,아직도 널 잊지 못해  이유 없는 울음 삼키고  애써 기다린 그대 지우려하네  어두웠던 지난 겨울비 내린 그날 밤  이젠 잊은듯한 눈길이 다가와  사랑해 너무 사랑했었어  널 위해 살아온 날 잊진 말아줘  널 보며 너를 기다려 오며  너만을 그리워한  오직 너뿐인 나를 기억해줘  그렇게 지나온 시간속에  넌 아마 날 잊어버린채  애써 행복한 듯한 눈빛을 보이지  울어도 괜찮아 내게로 와  너를 위해 남겨진 내 품안으로  아직 난 널 사랑해  사랑해 너무 사랑했었어  널 위해 살아온 날 잊진 말아줘  널 보며 너를 기다려오며  너만을 그리워한  오직 너뿐인 나를 기억해줘  어느날 난 너 떠난 오랜후에  이별의 아픔을 홀로된 느낌을  마르지않는 슬픔을 사랑해 너무 사랑했었어  널 위해 살아온 날 잊진 말아줘  널 보며 너를 기다려오며  너만을 그리워 한  오직 너뿐인 나를 오직 너뿐인 나를 오직 너뿐인 나를 기억해줘 기억해줘
1999.06.13~06.19,3,38751,비정(非情),김경호,Kyung-Ho Kim Ⅳ,1999.04,Rock,김태훈,손가락 하나 내 뜻대로 움직이지도 못할 만큼 취해버린 채로 눈을 감을때 눈을 감는 그 순간에도 나를 스쳐 지나가는 건 나의 안불 물어오는 나를 떠나버린 너였어 어떻게 살아가는지 왜 궁금해 내가 무슨 말을 해주길 바래 가끔씩 생각 없는 말투로 내게 묻지 않았으면해 항상 넌 그냥 이라고 하지 언제나 같은 대답 뿐인걸 어떻게 내가 받아 들여야만해 우리가 왜 이런 말을 해야해 어차피 지금 너의 마음속에 내가 남아 있지 않다면 나를 위한 걱정 따윈 하지마 다시 돌아 올 수 없다면 내가 널 지워 버릴 수 있게 나를 이대로 내버려 둬 어차피 나에게 올 수  없는거라면
1999.06.13~06.19,4,38634,연애,김현철,어느 누구를 사랑한다는 건 미친 짓이야,1999.05.11,Ballad,김현철,정말 유치한것 같아 내가 하는 모든 얘기가  산다는게 원래 그런거 라지만  저 푸른 초원위에 그림같은 집을 짓고서 님과 함께 살고 싶은 기분이야  누굴 좋아한다는데 이유가 그런 이유가 어딨겠어  그저 어느 누가 맘에 들면 그냥 맘에 드는 거지  나는 날아 날아 올라 그대와 함께 있을때면 Alright 연애하는 기분이라 나는 날아 날아 올라 그대와 함께 있을때면 Alright 정말 좋은것 같아  사람일이란 것을 이 세상 어느 누가 알겠어  그 누구도 알수 없는 일이겠지 우리가 이 다음에 어떻게 될지 모르지만  나는 다시 태어난 듯한 느낌야  누굴 좋아한다는데 이유가 그런 이유가 어딨겠어  그저 어느 누가 맘에 들면 그냥 맘에 드는 거지  나는 날아 날아 올라 그대와 함께 있을때면  Alright 연애하는 기분이라 나는 날아 날아 올라 그대와 함께 있을때면  Alright 정말 좋은것 같아  누굴 좋아한다는데 이유가 그런 이유가 어딨겠어 그저 어느 누가 맘에 들면 그냥 맘에 드는 거지 나는 날아 날아 올라 그대와 함께 있을때면  Alright 연애하는 기분이라 나는 날아 날아 올라 그대와 함께 있을때면 Alright 정말 좋은 것 같아
1999.06.13~06.19,5,489872,슬픈 침묵,유승준,You Seung Jun Best & J Duet Collection,2001.09.01,Dance,"이희성,김형석,서동원",슬퍼할 필요는 없어  눈물 저리 치워  내가 아픈 것을  슬픔이라 생각하지 마라  그가 간 그 자리 그 흔적 그 안에  내가 있었다는 것을  사죄하려 하지마라  내 눈을 보지마 보지마  보지마 보지마  미련한 눈물을 눈물을  눈물을 눈물을  니가 갈 그 자리 그 길에  모두 다 작은 나를 묻고  아픔없는 그 곳에서 편히 쉬렴  니가 갔어  왜냐고 묻진 않았어  슬픔 아픔에 피 맺힌  마지막 니 눈을 봤어  단지 친구라는 이유만으로  미소를 비췄던 니가  마지막 던진 그 눈빛 그 의미  미련한 나로서는 니가 항상 내게  행복을 느낀다던 메모처럼  이해할수 없었던 나  이제 나 이제 나 당할때 너보다 더  비굴한 눈물이 흘러  Hold my hand 여기 내 손을 잡아  You took my mind 슬픈 외로움  두번 다시 없어 너 행복하기를  미움없는 곳에서 세상을 알아가며  모든게 변해 버렸지  난 널 버렸지 그랬었지  이제는 멀리 날아가 꿈을 찾아가  내 남은 눈물들에게 날개를 달아  니가 원하는 곳으로 가  세상과 믿음에 내버림 받아  쓰러져 무너져있던 너를 버릴수  밖에 없던 난 겁이 많던 난  너처럼 버틸 견뎌낼 자신이 없어  널 묻고 가는 길 그 길에 너의 추억  어릴적 놀던 기억  하나둘 주워 담으며  돌아와 왠지 니가 볼것 같은  들을것 같은  내 어리석은 죄책감에 참고 참던  눈물을 숨죽여 흘려 이젠 내겐  나란 존재조차 힘이 될수 없었기에  넌 그 길을 택했지  쓸어버려 지워버려  남자답게 그리고 행복하길 바래  Hold my hand 여기 내 손을 잡아  You took my mind 슬픈 외로움  두번 다시 없어 너 행복하기를  미움없는 곳에서  슬퍼할 필요는 없어 눈물 저리치워 내가 아픈 것을 슬픔이라 생각하지 마라 그가 간 그 자리 그 흔적 그 안에 내가 있었다는 것을 사죄하려 하지마라 내 눈을 보지마 보지마 보지마 보지마 미련한 눈물을 눈물을 눈물을 눈물을 니가 갈 그 자리 그 길에 모두 다 작은 나를 묻고 아픔없는 그 곳에서 편히 쉬렴 Hold my hand 여기 내 손을 잡아 You took my mind 슬픈 외로움 두번 다시 없어 너 행복하기를 미움없는 곳에서 Hold my hand 여기 내 손을 잡아 You took my mind 슬픈 외로움 두번 다시 없어 너 행복하기를 미움없는 곳에서
1999.06.13~06.19,6,1073524,Shut Up!,유승준,99 Mix Mac 히트가요 논스톱,1999,Dance,,어디서 뭘 했는데 또 누굴 만난 건데 도대체 연락 안돼 뭘 하고 다니는 건데 안 그랬는데 옛날엔 진짜 안 그랬어 그렇게 피할 거면 꺼져버려  아무 거침없이 쏟아 붓는 너의 잔소리 그것의 시작이 내가 뭘 잘못했니 뭘 생각하니 뭘 그리 네 맘에 안 드니 내 말을 들어 봐 날 쳐다 봐 내 진심을 내게 물어 봐 네가 날 이해해 봐도 내게 남는 것은 하나도 없다고 봐 몇 번을 말해야 알아 듣겠니 왜 이래야만 하는거야 한바탕 너의 잔소리 듣고 난 후면 내 인내심도 끝인거야 지금 너 내게 보이는 끈질긴 집착 내 지난 이별 이유라고 그토록 알아 듣도록 얘기했지만 왜 똑같아져 가는거야 그래서 한 때는 하루 종일을 꼭 붙어 다녔었고 다시는 잔소리 없을 거라고 너와 나 약속했어 아무 말 필요 없었잖아 그냥 눈빛 하나면 충분했잖아 우리의 행복 기억하니 정말 행복했었잖아
1999.06.13~06.19,7,82877,바람과 함께 사라지다,임창정,Story Of...,1999.03.01,Dance,김영아,오래 만났지 다른 사랑하는 널  편한 친구로 그저 바라만 보며  요즘 니 곁에 그 사람  보이질 않고  헤어졌는지 내 어깰  빌리곤 했어  조금씩 연인처럼 가까워진  우리 둘 사이  항상 기다린 거야  늦었지만 나의 사랑을  고백하려해  하지만 니가 먼저 꺼낸 그 말  미안하다며 내게 고마웠다고  우리 얘긴 잠시 스쳐간  바람이라고 말했어  나를 떠나가지 말아줘  내 사랑 너밖에 없어  그저 바람처럼 좋았던 추억까지  날려버릴 수는 없잖아  돌아서는 너를 멈춰줘  아직 못다한 얘기가 있어  항상 너의 뒤에 감춰왔던  사랑이야  힘들었었지 너를  그리워하며  그 전보다 더 커진  사랑이 됐어  기다렸던 나 너에게  전화가 왔고  다시 한번 날 만나고  싶다 말했어  이제는 돌아와 준 너의  손을 놓치진 않아  굳은 결심을 했어  미뤄왔던 나의 사랑을  보여줄 거야  하지만 다정스레 너와 함게  나온 그 남자  너와 결혼한다고  고마웠던 친구였다며 날  소개하고 있었어  나를 떠나가지 말아줘  내 사랑 너 밖에 없어  그저 바람처럼 좋았던  추억까지  날려버릴 수는 없잖아  돌아서는 너를 멈춰줘  아직 못다한 얘기가 있어  항상 너의 뒤에 감춰왔던  사랑이야  나를 떠나가지 말아줘  내 사랑 너밖에 없어  그저 바람처럼 좋았던  추억까지  날려버릴 수는 없잖아  돌아서는 너를 멈춰줘  아직 못다한 얘기가 있어  항상 너의 뒤에 감춰왔던  사랑이야  사랑이야
1999.06.13~06.19,8,105827,사랑과 영혼 (Feat. 김태영),클론,Funky Together,1999.03,Ballad,김창환,난 내 자신이 너무도 싫다  너 없이도 살아갈 수 있는  내 모습이 싫다  항상 니 곁에서 영원히 널 지켜주며  너와 함께 할꺼라고 다짐했는데  난 너와의 약속을 지키지 못한채  오늘도 한순간 순간  너를 잊고 살아가며  난 눈물조차 말라버린 가슴으로  지나가는 시간속에  너를 잊어가고 있어  너여야만 했어 너 아니면 안됐지  나의 영혼까지  모두 바쳐 사랑할 사람  하지만 넌 나만 혼자 남겨둔채  돌아올 수 없는 먼곳으로  넌 떠나갔지  넌 너무 행복했다고 말을 했지  내 사랑을 모두 갖고  떠날 수 있다면서  넌 식어가는 손으로 내 손을 잡고  마지막 그 순간까지만  널 지켜달라했지  그대여 이제 날 잊어요  더 이상 힘겨워 말아요  내 영혼이 하늘에서 잠들 수 있게  이젠 그대여 날 놓아주세요  난 지금도 혼자 있는 밤이 오면 아무도 모르게 너의 사진을 펼쳐놓고 지난 추억 속의 너의 모습 떠올리며 사진 속 니 얼굴을 어루만져 보지만 내 눈물이 흘러 너의 사진위에 하얗게 번져 웃는 니 얼굴이 빛날때면 난 견디기 힘든 추억을 안고서 오늘도 꿈속으로 난 너를 만나러 떠난다 볼 수 없어 니 모습이 자꾸 희미해져 꿈속에서 마저 너는 나를 잊어버렸나봐 난 소리내어 너를 불러보지만 니가 점점 나와 멀어지는 걸 느끼며 변해버린 건 니가 아니란걸 알아 세월속에 무뎌지는 나의 감정이라는 걸 난 이런 내 자신이 너무 싫어 너를 잊고 살아갈 수 있는 내 모습이 싫어 그대여 이제 날 잊어요 더 이상 힘겨워 말아요 내 영혼이 하늘에서 잠들 수 있게 이젠 그대여 날 놓아주세요 오 오 그대여 그대여 울지말아요 나 항상 그대 마음안에서 언제나 함께 할께요
1999.06.13~06.19,9,83891,그녀의 연인에게... #Story Ⅰ,K2김성면,Vocalist,1999.04,Rock,,알고 있나요 지금 그대  가진 행복  내겐 아픈 이별이란걸  그녀가 나를 떠나가기 전에  나도 그대 처럼 행복  할수 있었죠  설레임이 가득한 그대 하루만큼  나의 하룬 길고 외로워  어쩌면 나는 바랬는지 몰라  두 사람의 사랑 또한  이별이 되길  이런 나를 이해해요  그댈 미워 할수 밖에 없는날  그대가 난 눈물이 날만큼  부러웠었죠  꼭 하나만 바래요 날 대신해  그녈 영원히 지켜줘야 해요  내가 못 이룬 사랑 이제는 다  모두 이룰 그대  행복하길 그녀의 사랑이니까  이세상에 누구보다 그대  좋은 사람이길 바래요  나보다 더 그녀를 아끼고  사랑할 사람  꼭 하나만 바래요 날 대신해  그녈 영원히 지켜줘야 해요  내가 못 이룬 사랑 이제는 다  모두 이룰 그대  행복하길 그녀의 사랑이니까  꼭 하나 기억해요  이세상에 난 추억이 되어  잊혀지겠지만   오랜 간절함에도 내게  허락되지 않던 사람  모두 가진 바로 그대라는 걸
1999.06.13~06.19,10,85861,T.O.P. (Twinkling Of Paradise),신화,T.O.P.,1999.04,Dance,,What you gonna do what  I gotta dokeep me up and  makin a cash in flash at last do you wanna  see the light or stand alone what you gonna do now  what's up with the past what you gonna do what I gotta do this is how  we do you niggas better know do you wanna see the  light or stand alone in the midst of flippin side puttin it down wild cornin  through your town my love is DRC 너도 힘들겠어  어제 다시 찾아온 널  받아준다 했을때 그땐 내 속에 미워하는  마음들이 남았어 날 버리고  돌아섰던 너에게 Twinkling of paradise one  more your life 그대 그  마음을 알겠어 내품에 언제나 살아있고  싶은 걸 느껴 The way of MIL 난 지금 잊혀진 기차역에  서서 네 마음과 영혼을 가방에 넣고 오직 나만이 탈수 있는 차를  기다려 그대라는 기차가  오기만을 기다려  DOP DOG 널 보낸 후에  나는 알게됐었어  그 어떤 사람도 대신 할 수 없는걸 난 매일 같이 기도했어 니가  불행하길 나는 기도했어  이젠 다시 내게로 돌아와  Twinkling of paradise one  more your life 그대 그  마음을 알겠어 내품에 언제나 살아있고  싶은 걸 느껴 The way of MIL 니가 돌아오는 길에 내가  서있을께 준비했던 만큼만 그리움과 내 사랑과 멍이  들어버린 가슴 보여주겠어 다신 나를 떠날 생각마  행복하게 해줄게 이젠 hey yo yo shootin to killlyrics I spill are raw  dealec centually and  mentally ill that's for real the  source of a commin ti the  down and torture ya coast to coast now we  boogie sorang in the raid  watch it quiver body blows bein deliver by  thriller sicker than heeler when I come with the strains  the mega pains that remain in your brain low talls a  stain a mental high pain 니가 돌아오는 길에 내가  서있을께 준비했던 만큼만 그리움과 내 사랑과 멍이  들어버린 가슴 보여주겠어 다신 나를 떠날 생각마  행복하게 해줄게 이젠 Twinkling of paradise one  more your life 그대 그  마음을 알겠어 내품에 언제나 살아있고  싶은 걸 느껴 The way of MIL Twinkling of paradise one  more your life 그대 그  마음을 알겠어 내품에 언제나 살아있고 싶은 걸  느껴 The way of MIL
