singer_id,debut,singer_type,singer_gender,company,bthday
1128,1988.06,솔로,남성,투비스타,1966.07.30
101085,1984,그룹,혼성,,
1163,1989.05,솔로,남성,,1963.03.02
35,1987.05,솔로,남성,,1960.03.25
1424,1989.09,솔로,남성,후너스 크리에이티브 ,1969.06.14
6014,1989.06.15,솔로,남성,,1966.08.15
101159,1988.06,그룹,남성,,
1010,1988.12,솔로,남성,,1966.12.05
100986,1988.03,그룹,남성,,
43,1978,솔로,남성,KMOONfnd,1959.01.17
1117,1983,솔로,여성,,1962.03.10
5856,1980.06,솔로,남성,,1958.01.07
458,1988.08,솔로,여성,브리즈뮤직,1970.03.12
457,1988.08,솔로,남성,이상우의 티원보컬아카데미 ,1963.08.25
1166,1980.12,솔로,여성,,1962.04.18
102007,1984.10,그룹,혼성,,
19,1969,솔로,남성,YPC프로덕션,1950.03.21
9363,1978,솔로,남성,,1958.05.30
9564,1987,솔로,여성,,1971.10.31
5761,1979,솔로,여성,,1957.10.01
867,1988.11,솔로,남성,,1966.06.29
101599,1988.01,그룹,혼성,,
699,1990.02,솔로,남성,,1969.05.18
101012,1977.04,그룹,남성,,
845,1990.05,솔로,남성,KCA 엔터테인먼트,1968.05.06
1097,1989.05,솔로,남성,,1965.12.25
562,1988.08,솔로,남성,들국화컴퍼니,1954.02.09
4640,1989.08,솔로,여성,,1971
26,1989,솔로,남성,드림팩토리,1965.12.13
6571,1988,솔로,여성,,1968.12.24
31,1990.04,솔로,여성,,1967.05.20
10479,1988,솔로,남성,,1966.06.23
5185,1986.04,솔로,여성,폴라리스엠넷,1969.05.16
4776,1988,솔로,여성,예당엔터테인먼트,1967.09.23
966,1984,솔로,여성,후크엔터테인먼트,1964.11.11
9355,1986,솔로,여성,,1963.01.16
101521,1990.08,그룹,남성,,
1069,1988.10,솔로,남성,더 칼러스,1959.08.13
100148,1990.07,그룹,남성,더공일오비,
25,1990.11.15,솔로,남성,도로시컴퍼니(주),
38,1990.11,솔로,남성,오드아이앤씨,1968.05.11
1051,1989,솔로,여성,,1969.03.21
40,1978,솔로,여성,,1957.03.03
1983,1991,솔로,남성,,1966.07.11
1015,1990.08,솔로,남성,마로니에엔터테인먼트,1967.07.29
936,1989.01,솔로,여성,,1965.03.23
17652,1991.02,솔로,남성,,1967.05.16
5693,1991.08,솔로,남성,,1966.07.02
10344,1985,솔로,남성,,1949.12.01
12215,1991,솔로,남성,,
4838,1991,솔로,남성,예당엔터테인먼트,1963.10.14
11303,1992,솔로,남성,,1968.07.17
44,1991,솔로,남성,,1968.09.05
6643,1991,솔로,남성,,1970
1538,1991,솔로,남성,,
827,1992.02,솔로,남성,베니카,1970.02.20
904,1991.02,솔로,남성,,1948.08.01
22,1992.01,솔로,여성,올라컴퍼니,1968.02.15
15,1992.01,솔로,남성,(주)앤에이취이엠쥐,1965.02.23
100161,1992.03,그룹,남성,,
942,1992.03,솔로,남성,SM엔터테인먼트,1972.03.23
1176,1991.01,솔로,남성,H.W 엔터프라이즈,1966.03.06
182233,1992.06,그룹,남성,,
100149,1992,그룹,남성,휴먼엔터테인먼트,
881,1992.06,솔로,남성,,
922,1992.03,솔로,남성,,1967.10.22
3948,1986,솔로,남성,,1964.02.28
5282,1992,솔로,여성,,1969.10.01
34,1991.08,솔로,남성,만파식적 엔터테인먼트 ,1968.07.26
5083,1990.08,솔로,남성,아이에이치큐,1971.02.03
437,1990.05,솔로,남성,미스틱89,1969.10.15
889,1992,솔로,남성,건음기획,1968.01.13
17,1992.10,솔로,남성,후너스 크리에이티브,1973.02.16
101737,1993.01,그룹,혼성,,
9969,1992,솔로,남성,,1970.03.17
100025,1992.11,그룹,남성,,
11373,1992,솔로,남성,,1970
8996,1987,솔로,남성,,1967.01.12
101781,1992,그룹,혼성,,
5685,1987.02,솔로,남성,,1959.10.10
746,1992.10,솔로,남성,,1970.02.09
698,1971,솔로,남성,극단 학전,1951.03.31
100977,1993.04,그룹,남성,,
45,1991.01,솔로,남성,,1967.05.09
29,1976,솔로,여성,,1953.03.13
508,1993.01,솔로,남성,더공일오비,1968.12.23
4563,1993,솔로,여성,,1959.04.22
3624,1994,솔로,남성,,1968
4267,1993,솔로,남성,,1968.01.05
5154,1992.12,솔로,여성,,1972.12.12
101464,1992.11,그룹,남성,,
101989,,그,,,
100080,1993.10,그룹,남성,,
101637,1993,그룹,남성,,
