rank,song_id,title,singers,album,date,genre,creator,lyric,singer_id,debut,singer_type,singer_gender,company,bthday
5,11209,변해가네,동물원,"다시 꽃씨되어(김광석 Anthology)",2000.11.17,Folk,김창기,"느낀 그대로를 말하고 생각한 그 길로만 움직이며 그 누가 뭐라해도 돌아보지 않으며 내가 가고픈 그 곳으로만 가려했지 그리 길지 않은 나의 인생을 혼자 남겨진 거라 생각하며 누군가 손 내밀며 함께 가자하여도 내가 가고픈 그 곳으로만 고집했지 그러나 너를 알게 된 후 사랑하게 된 후 부터 나를 둘러싼 모든 것이 변해가네 나의 길을 가기보단 너와 머물고만 싶네 나를 둘러싼 모든것이 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네  그리 길지 않은 나의 인생을 혼자 남겨진 거라 생각하며 누군가 손 내밀며 함께 가자하여도 내가 가고픈 그 곳으로만 고집했지 그러나 너를 알게 된 후 사랑하게 된 후 부터 나를 둘러싼 모든 것이 변해가네 나의 길을 가기보단 너와 머물고만 싶네 나를 둘러싼 모든 것이 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네 우 너무 쉽게 변해가네 우 너무 빨리 변해가네",100984,1988,그룹,남성,,
5,27189,개똥벌레,신형원,"신형원 베스트 1982-2000",2000.09.05,Folk,한돌,"아무리 우겨봐도 어쩔 수 없네  저기 개똥무덤이 내 집인걸  가슴을 내밀어도 친구가 없네  노래하던 새들도 멀리 날아가네   가지마라 가지마라 가지말아라  나를 위해 한번만 노래를 해주렴  난나~나나나나~쓰라린 가슴 앉고  오늘밤도 그렇게 울다 잠이든다   마음을 다주어도 친구가 없네  사랑하고 싶지만 마음뿐인 걸  나는 개똥벌레 어쩔수없네  손을 잡고 싶지만 모두 떠나가네   가지마라 가지마라 가지말아라  나를 위해 한번만 손을 잡아주렴  아아 외로운 밤 쓰라린 가슴앉고  오늘밤도 그렇게 울다 잠이든다   가지마라 가지마라 가지말아라  나를 위해 한번만 손을 잡아주렴  아아 외로운밤 쓰라린 가슴앉고  오늘밤도 그렇게 울다 잠이든다  울다 잠이든다   오늘밤도 그렇게 울다 잠이든다...",2020,1982,솔로,여성,,1958.02.15
4,27192,유리벽,신형원,"신형원 베스트 1982-2000",2000.09.05,Folk,한돌,"내가 너의 손을 잡으려해도 잡을수가 없었네 보이지않는 그 무엇이 나를 슬프게 하였네 나는 느낄수 있었네 부딪히는 그 소리를 우정도 우정도 사랑도 사랑도 유리벽안에 놓여있었네 아무도 깨뜨리질 않는 아무도 깨뜨리지 않네 모두다 모른척하네 보이지 않는 유리벽  나는 느낄수 있었네 부딪히는 그 소리를 우정도 우정도 사랑도 사랑도 유리벽안에 놓여있었네 아무도 깨뜨리질 않는 아무도 깨뜨리지 않네 모두다 모른척하네 보이지 않는 유리벽 보이지 않는 유리벽",2020,1982,솔로,여성,,1958.02.15
10,27194,외사랑,신형원,"신형원 베스트 1982-2000",2000.09.05,Folk,한돌,"내 사랑 외로운 사랑 이루어질 수 없는 사랑인가요 사랑의 노래를 불러보고 싶지만 마음 하나로는 안되나봐요 내 마음 하얀 불빛은 오늘도 그렇게 쓸쓸했지요 밤하늘에는 작은 별하나가 내 마음같이 울고 있네요 눈물 고인 내 눈속에 별하나가 깜빡이네요 눈을 감으면 흘러내릴까봐 눈 못감는 내 사랑  눈물 고인 내 눈속에 별하나가 깜빡이네요 눈을 감으면 흘러내릴까봐 눈 못감는 서글픈 사랑 잊을 수 없는 내사랑",2020,1982,솔로,여성,,1958.02.15
8,27199,"예기치 않은 바람",신형원,"신형원 베스트 1982-2000",2000.09.05,Folk,한돌,"진정 헤어지면 슬프지않네 우리가 사랑한것은 거짓이였네 지난 그세월이 못믿어웠고 사랑했던 마음으로 돌아서야지 때아닌 계절에 나뭇잎 지고 예기치 않은 바람 아 무정한 그바람 사랑 헛된 꿈은 낙엽이 던가 떨어진 낙엽밟으며 나는 가야지  때아닌 계절에 나뭇잎 지고 예기치 않은 바람 아 무정한 그바람 사랑 헛된 꿈은 낙엽이 던가 떨어진 낙엽밟으며 나는 가야지 나는 가야지",2020,1982,솔로,여성,,1958.02.15
8,46411,"지금은 가지 마세요",김수희,김수희,1989.11,"Adult Contemporary",정혜경,"어제 나는 그이의 전부였는데 오늘은 지나간 여인이 되어 영원히 가슴으로 남았습니다 지금도 창밖에 비가 내리고 우리 이별을 잊게 하는데 이렇게 나만이 울어야 합니까 그대여 갈 때 가더라도 지금은 가지 마세요 잊혀진 여인으로 남는 나인데 그리운 사람되어 떠나지 마요 갈 때 가더라도 지금은 가지 마세요  어제 나는 그이의 전부였는데 오늘은 지나간 여인이 되어 영원히 가슴으로 남았습니다 그대여 갈 때 가더라도 지금은 가지 마세요 잊혀진 여인으로 남는 나이기에 그리운 사람되어 떠나지 마요 갈 때 가더라도 지금은 가지 마세요",29,1976,솔로,여성,,1953.03.13
6,47068,"언제나 그대 내곁에 (응답하라 1988 삽입곡)",김현식,"김현식 4집",1988.09.30,Ballad,김현식,"구름 저 멀리 해를 가리고 그대 홀로 있을 때 내게 말해요 그대를 위로할께요 해는 저물어 밤이 오고 홀로 이 밤 지샐 때 내게 말해요 그대의 친구 될께요 세상은 외롭고 쓸쓸해 때로는 친구도 필요해 그대 멀리 떠난다 해도 난 언제나 그대 곁으로 달려 갈래요  세상은 외롭고 쓸쓸해 때로는 친구도 필요해 그대 멀리 떠난다 해도 난 언제나 그대 곁으로 달려 갈래요  해는 저물어 밤이 오고 홀로 이 밤 지샐 때 내게 말해요 그대의 친구 될께요 언제나 그대 내 곁에 언제나 그대 내 곁에 언제나 그댄 내 곁에 언제나 그댄 내 곁에",5856,1980.06,솔로,남성,,1958.01.07
6,47078,"새벽 아침",수와진,"수와진 베스트 콜렉션",1988.06,Ballad,정문숙,"나는 나는 풀꽃이 되어 대지 위에 자라고 너는 너는 이슬이 되어 나의 모습을 적신다 우리들이 만나는 날은 안개가 낀 이른 새벽 아침 너의 이슬이 나를 적실때 나는 기쁨의 눈물을 흘린다 나는 나는 풀꽃이 되어 대지 위에 자라고 너는 너는 이슬이 되어 나의 모습을 적신다  나는 나는 갈대가 되어 너를 기다리고 너는 너는 이슬이 되어 나의 모습을 찾는다 우리들이 만나는 날은 안개가 낀 이른 새벽 아침 너의 이슬이 나를 적실때 나는 기쁨의 눈물을 흘린다 나는 나는 갈대가 되어 너를 기다리고 너는 너는 이슬이 되어 나의 모습을 찾는다",101221,1987.04,그룹,남성,,
4,47128,"시를 위한 시(詩)",이문세,"가로수 그늘아래서면",1988.09.15,Ballad,이영훈,"바람이 불어 꽃이 떨어져도 그대 날 위해 울지 말아요 내가 눈 감고 강물이 되면 그대의 꽃잎도 띄울께 나의 별들도 가을로 사라져 그대 날 위해 울지 말아요 내가 눈 감고 바람이 되면 그대의 별들도 띄울께 이 생명 이제 저물어요 언제까지 그대를 생각해요 노을진 구름과 언덕으로 나를 데려가줘요 나의 별들도 가을로 사라져 그대 날 위해 울지 말아요 내가 눈 감고 바람이 되면 그대의 별들도 띄울께 이 생명 이제 저물어요 언제까지 그대를 생각해요 노을진 구름과 언덕으로 나를 데려가줘요 나의 별들도 가을로 사라져 그대 날 위해 울지 말아요 내가 눈 감고 바람이 되면 그대의 별들도 띄울께",43,1978,솔로,남성,KMOONfnd,1959.01.17
2,47133,"가로수 그늘아래 서면",이문세,"가로수 그늘아래서면",1988.09.15,Ballad,이영훈,"라일락 꽃 향기 맡으면 잊을 수 없는 기억에 햇살 가득 눈 부신 슬픔 안고 버스 창가에 기대 우네 가로수 그늘 아래 서면 떠가는 듯 그대 모습 어느 찬비 흩날린 가을 오면 아침 찬 바람에 지우지 이렇게도 아름다운 세상 잊지 않으리 내가 사랑한 얘기 우 우우우 우 여위어 가는 가로수 그늘 밑 그 향기 더 하는데 우 우우우 우 아름다운 세상 너는 알았지 내가 사랑한 모습 우 우우우 우 저 별이 지는 가로수 하늘 밑 그 향기 더 하는데 가로수 그늘 아래 서면 떠가는 듯 그대 모습 어느 찬 비 흩날린 가을 오면 아침 찬 바람에 지우지 이렇게도 아름다운 세상 잊지 않으리 내가 사랑한 얘기 우 우우우 우 여위어 가는 가로수 그늘 밑 그 향기 더 하는데 우 우우우 우 아름다운 세상 너는 알았지 내가 사랑한 모습 우 우우우 우 저 별이 지는 가로수 하늘 밑 그 향기 더 하는데 내가 사랑한 그대는 아나",43,1978,솔로,남성,KMOONfnd,1959.01.17
