time,rank,song_id,title,singers,album,date,genre,creator,lyric
1985.08.15~08.21,1,68142,"어제, 오늘, 그리고",조용필,조용필 7집,1985.04.10,Rock,하지영,바람소리처럼 멀리 사라져갈 인생길 우린 무슨 사랑 어떤 사랑했나 텅 빈 가슴속에 가득 채울 것을 찾아서 우린 정처 없이 떠나가고 있네 여기 길 떠나는 저기 방황하는 사람아 우린 모두 같이 떠나가고 있구나 끝없이 시작된 방랑 속에서 어제도 오늘도 나는 울었네 어제 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 버린 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가 어떤 날은 웃고 어떤 날은 울고 우는데 어떤 꽃은 피고 어떤 꽃은 지고 있네 오늘 찾지 못한 나의 알 수 없는 미련에 헤어날수 없는 슬픔으로 있네 여기 길 떠나는 저기 방황하는 사람아 우린 모두 같이 떠나가고 있구나 끝없이 시작된 방랑 속에서 어제도 오늘도 나는 울었네 어제 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 버린 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가
1985.08.15~08.21,2,3328252,희나리,구창모,發 (발),1985.06.10,"Adult Contemporary,Ballad",,사랑함에 세심했던 나의 마음이
1985.08.15~08.21,3,733017,하늘 나라 우리님 1,송골매,송골매 5,1985.04.10,Rock,이응수,하늘은 매서웁고 흰눈이 가득한 날 사랑하는 님 찾으러 천상에 올라갈제 신 벗어 손에 쥐고 버선 벗어 품에 품고 곰뷔 님뷔 님뷔 곰뷔 천방 지방 지방 천방 한번도 쉬지 않고 허위 허위 올라가니 버선 벗은 발일랑은 쓰리지 아니한데 님 그리는 온 가슴만 산득 산들 하더라 님 그리는 온 가슴만 산득 산들 하더라  하늘은 매서웁고 흰눈이 가득한 날 사랑하는 님 찾으러 천상에 올라갈제 신 벗어 손에 쥐고 버선 벗어 품에 품고 곰뷔 님뷔 님뷔 곰뷔 천방 지방 지방 천방 한번도 쉬지 않고 허위 허위 올라가니 버선 벗은 발일랑은 쓰리지 아니한데 님 그리는 온 가슴만 산득 산들 하더라 님 그리는 온 가슴만 산득 산들 하더라
1985.08.15~08.21,4,1028281,"바람, 바람, 바람",김범룡,김범룡 1집,1985.03.10,Dance,김범룡,문밖엔 귀뚜라미 울고 산새들 지저귀는데 내 님은 오시지는 않고 어둠만이 짙어가네 저멀리엔 기타소리 귓가에 들려오는데 언제 님은 오시려나 바람만 휭하니 부네 내 님은 바람이련가 스치고 지나가는 바람 오늘도 잠 못 이루고 어둠속에 잠기네 그대 이름은 바람 바람 바람 왔다가 사라지는 바람 그대 이름은 바람 바람 바람 날 울려 놓고 가는 바람  창가에 우두커니 앉아 어두운 창밖 바라보면 힘없는 내 손 잡아주며 님은 곧 오실것 같아 저멀리엔 교회 종소리 귓가에 들려오는데 언제 님은 오시려나 바람만 휭하니 부네 내 님은 바람이련가 스치고 지나가는 바람 오늘도 잠 못 이루고 어둠속에 잠기네 그대 이름은 바람 바람 바람 왔다가 사라지는 바람 그대 이름은 바람 바람 바람 날 울려 놓고 가는 바람 날 울려 놓고 가는 바람 날 울려 놓고 가는 바람
1985.08.15~08.21,5,1002457,비내리는 영동교,주현미,힛트곡 전집,1989,Adult Contemporary,정은이,밤비 내리는 영동교를 홀로 걷는 이 마음 그사람은 모를거야 모르실거야 비에 젖어 슬픔에 젖어 눈물에 젖어 하염없이 걷고있네 밤비 내리는영동교 잊어야지 하면서도 못 잊는것은 미련 미련 미련 때문인가봐   밤비 내리는영동교를 헤매도는 이 마음 그사람은 모를거야 모르실거야 비에 젖어 슬픔에 젖어 아픔에 젖어 하염없이 헤매이네 밤비 내리는 영동교 생각 말자 하면서도 생각하는 건 미련 미련 미련 때문인가봐
1985.08.15~08.21,6,51971,바위섬,김원중,바다가 보이는 찻집/바위섬,1990.11.16,Folk,배창희,파도가 부서지는 바위섬 인적없던 이 곳에 세상 사람들 하나 둘 모여 들더니 어느 밤 폭풍우에 휘말려 모두 사라지고 남은 것은 바위섬과 흰 파도라네 바위섬 너는 내가 미워도 나는 너를 너무 사랑해 다시 태어나지 못해도 너를 사랑해 이제는 갈매기도 떠나고 아무도 없지만 나는 이 곳 바위섬에 살고 싶어라  바위섬 너는 내가 미워도 나는 너를 너무 사랑해 다시 태어나지 못해도 너를 사랑해 이제는 갈매기도 떠나고 아무도 없지만 나는 이 곳 바위섬에 살고 싶어라 나는 이 곳 바위섬에 살고 싶어라
1985.08.15~08.21,7,1726828,환상의 섬,윤수일,골든 힛트곡 모음집 (사랑만은 않겠어요),1989.03.20,Adult Contemporary,윤수일,내고향 바닷가 외딴 섬하나 뽀얀 물안개 투명한 바다속 바위에 앉아서 기타를 퉁기면 인어같은 소녀가 내곁에 다가왔지 환상의 섬  환상의 섬  환상의 섬 소녀야 나는 너를 잊지못해 환상의 섬 소녀야  세월이 흐른뒤 다시찾은 그 섬엔 문명이 할퀴고간 초라한 그 모습 보고픈 소녀는 어디론가 떠나고 외로운 갈매기만 슬피 울고 있네 환상의 섬  환상의 섬 환상의 섬 소녀야 나는 너를 나는 너를 잊지못해 잊지못해 환상의 섬 소녀야 환상의 섬 소녀야 환상의 섬 소녀야 환상의 섬 소녀야 소녀야 잊지못해 나는 너를 나는 너를 잊지못해 잊지못해 환상의 섬 소녀야
1985.08.15~08.21,8,1569503,이별노래,이동원,골든(이별노래),1984.11.20,Folk,정호승,떠나는 그대 조금만 더 늦게 떠나준다면 그대 떠난 뒤에도 내 그대를 사랑하기에 아직 늦지 않으리 그대 떠나는 곳 내 먼저 떠나가서 그대에 뒷모습에 깔리는 노을이 되리니 옷 깃을 여미고 어둠속에서 사람의 집들이 어두워지면 나 그대위해 노래하는 별이 되리니 난 그대 조금만 더 늦게 떠나준다면 그대 떠난 뒤에도 내 그대를 사랑하기에 아직 늦지 않으리  그대 떠나는 곳 내 먼저 떠나가서 그대에 뒷모습에 깔리는 노을이 되리니 옷 깃을 여미고 어둠속에서 사람의 집들이 어두워지면 나 그대 위해 노래하는 별이 되리니 난 그대 조금만 더 늦게 떠나준다면 그대 떠난 뒤에도 내 그대를 사랑하기에 아직 늦지 않으리
1985.08.15~08.21,9,66537,그대 작은 화분에 비가 내리네,배따라기,배따라기,1990.02,Folk,이혜민,비가 내리네 그대 작은 화분에 잊혀졌던 기억이 떠오르네 비가 내리네 그대 떠난 마음에 슬픔만이 남았다네 견딜수 없다네 눈물 흐르네 외로운 내 마음엔 그대없는 이 밤이 너무 길게 느껴지네 비가 내리네 쓸쓸한 내 마음에 그대 떠난 이밤이 외로워졌네 오우 오우 오우 비가 내리네 그대 작은 화분에 상처 받은 마음을 어떻게 달랠까 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 오우 비가 내리네 그대 작은 화분에 어리석은 마음은 추억에 졌네 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지  비가 내리네 그대 작은 화분에 그대 떠난 이밤이 외로워졌네 오우 오우 오우 비가 내리네 그대 작은 화분에 상처 받은 마음을 어떻게 달랠까 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 비가 비가 내리네 그대 작은 화분에 어리석은 마음은 추억에 졌네 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 오우 비가 비가 내리네 우우우 비가 내리네 오우 비가 비가 내리네 비가 그대 창에 내리네 비가 내리네 비가 비가
1985.08.15~08.21,10,68153,미지의 세계,조용필,조용필 7집,1985.04.10,Rock,하지영,이순간을 영원히 아름다운 마음으로 미래를 만드는 우리들의 푸른꿈 어어어어어어 하고싶은 이야기 너와 내가 만들어요 우리는 모두다 사랑하는 친구들 어어어 어어어 아아아 노래를 사랑의 노래를 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요 언제나 끝이 없어라 알수 없는 질문과 대답 저 넓은 하늘끝까지 우리들의 사랑을 노래해요 머물곳을 찾아서 낯선곳을 찾아가서 미래를 만드는 우리들의 푸른꿈 어어어 어어어 가슴으로 느끼며 마음으로 얘기해요 우리는 노래를 사랑하는 친구들 어어어 어어어 아아아 노래를 사랑의 노래를 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요 언제나 끝이 없어라 알수 없는 질문과 대답 저 넓은 하늘끝까지 우리들의 사랑을 노래해요 어허 어허허 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요
