time,rank,song_id,title,singers,album,date,genre,creator,lyric
1987.05.14~05.20,1,48560,사랑이 지나가면,이문세,이문세 골든 15,1987,Ballad,이영훈,(1절)  그 사람 나를 보아도  나는 그 사람을 몰라요  두근거리는 마음은 아파도  이젠 그대를 몰라요  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면  그렇게 보고 싶던 그 얼굴을  그저 스쳐 지나며  그대의 허탈한 모습 속에  나 이젠 후회 없으니  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면    (2절)  그렇게 보고싶던 그얼굴을  그저 스쳐 지나며  그대의 허탈한 모습속에  나 이젠 후회없으니  그대 나를 알아도  나는 기억을 못합니다  목이 메어와 눈물이 흘러도  사랑이 지나가면    사랑이 지니가면
1987.05.14~05.20,2,1108114,꿈에,조덕배,꿈에,1986.01.01,Folk,조덕배,꿈에 어제 꿈에 보았던  이름모를 너를 난 못잊어  본적도 없고 이름도 모르는  지난 꿈 스쳐간 여인이여   이밤에 곰곰히 생각해보니  어디선가 본듯한 바로 그 모습  떠오르는 모습 잊었었던 사람  어느해 만났던 여인이여   어느 가을 만났던 사람이여  난 눈을 뜨면 꿈에서 깰까봐  난 눈 못뜨고 그대를 보네   물거품처럼 깨져버린 내꿈이여  오늘밤엔 그대여 와요  난 눈을 뜨면 사라지는 사람이여  난 눈 못뜨고 그대를 또보네   물거품처럼 깨져버린 내 꿈이여  오늘 밤에 그대여 와요   어느 가을 만났던 사람이여  난 눈을 뜨면 꿈에서 깰까봐  난 눈 못뜨고 그대를 보네   물거품처럼 깨져버린 내꿈이여  오늘밤엔 그대여 와요  난 눈을 뜨면 사라지는 사람이여  난 눈 못뜨고 그대를 또보네   물거품처럼 깨져버린 내 꿈이여  오늘 밤에 그대여 와요 -
1987.05.14~05.20,3,976287,고독한 DJ,이재성,촛불잔치,1986.05.30,Ballad,유영숙,오늘따라 음악속에 있는 그대 모습이 무척이나 슬퍼보여요 조그맣게 전해오는 그대 노래 소리에 왠지 눈물이 날것 같아요 지금 밖엔 비가 몹시 내리고 있어요 음악소리가 너무 작아요 고개 숙인 슬픈 DJ 그대 모습 때문에 작은 어깨가 떨려 오네요 오늘밤 그대 모습 지울 수가 없네요 슬픈 DJ 그대 모습 내 마음은 흔들려요 음악소리가 너무 작아요 그대 모습이 너무 멀어요 슬픈 DJ 슬픈 DJ DJ 음악소리가 너무 작아요 그대 모습이 너무 멀어요 슬픈 DJ 슬픈 DJ DJ 나의 DJ  오늘밤 그대 모습 지울 수가 없네요 슬픈 DJ 그대 모습 내마음은 흔들려요 음악소리가 너무 작아요 그대 모습이 너무 멀어요 슬픈 DJ 슬픈 DJ DJ 음악소리가 너무 작아요 그대 모습이 너무 멀어요 슬픈 DJ 슬픈 DJ DJ 나의 DJ
1987.05.14~05.20,4,48234,알고 싶어요,이선희,영/알고 싶어요,1988.08.30,Ballad,양인자,달밝은 밤에 그대는 누구를 생각하세요  잠이 들면 그대는 무슨 꿈 꾸시나요  깊은 밤에 홀로 깨어 눈물 흘린적 없나요  때로는 일기장에 내 얘기도 쓰시나요  나를 만나 행복했나요 나의 사랑을 믿나요  그대 생각하다보면 모든게 궁금해요    하루 중에서 내 생각 얼만큼 많이 하나요  내가 정말 그대의 마음에 드시나요  참새처럼 떠들어도 여전히 귀여운가요  바쁠때 전화해도 내 목소리 반갑나요  내가 많이 어여쁜가요 진정 날 사랑하나요  난 정말 알고 싶어요 얘기를 해주세요
1987.05.14~05.20,5,48309,부부,부부듀엣,부부 베스트,1994.10.01,Adult Contemporary,장경수,정 하나로 살아온 세월
1987.05.14~05.20,6,48161,이제 자야하나봐,전영록,전영록 베스트 콜렉션,1988,Dance,,이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 하 또 다시 먼동이 터오고 새벽이 다가 오는데 아무도 날 찾는 이 없어 이제는 자야하니까 누군가 누군가 하 누군가  이제 자야 하나봐 그대 오지 않는데 괜시리 나는 너를 기다리나봐 이제 자야 하나봐 작은 나의 마음은 하지만 나는 이 밤 지새워야지 누군가 다가와 하 또 다시 먼동이 터오고 새벽이 다가 오는데 아무도 날 찾는 이 없어 이제는 자야하니까 누군가 누군가 하 누군가 누군가 하 누군가 다가와 쉿
1987.05.14~05.20,7,59257,참새의 하루,송창식,송창식 골든 제3집,1988.10.03,Folk,송창식,아침이 밝는구나 언제나 그렇지만 오늘도 재너머에 낟알갱이 주우러 나가봐야지 아침이 밝는구나  바람이 부는구나 언제나 그렇지만 오늘도 허수아비 뽐을 내며 깡통소리 울려대겠지 바람이 부는구나  햇볕이 따갑구나 언제나 그렇지만 오늘도 어디가서 물 한모금 추기고 재잘대야지 햇볕이 따갑구나  희망은 새롭구나 언제나 똑같지만 커다란 방앗간에 집을 짓고 오손도손 살아봐야지 희망은 새롭구나  이제는 졸립구나 언제나 그렇지만 마누라 바가지는 자장가로 부르는 사랑의 노래 이제는 졸립구나 아침이 밝는구나 바람이 부는구나 햇볕이 따갑구나 희망은 새롭구나 이제는 졸립구나 아침이 밝는구나 바람이 부는구나
1987.05.14~05.20,8,47535,사랑의 슬픔,이치현과벗님들,이치현과 벗님들 전집,1989.03.10,Rock,하지영,하늘엔 흰눈이 내리고 거리에는 오가는 사람들 무슨 생각에 걸어 왔는지 알 수 없어요 달리는 창가에 흐르는 눈꽃처럼 허무한 사랑에 눈을 감으면 그대 생각에 가슴이 시려워요 아 속삭이듯 다가와 나를 사랑한다고 아 헤어지며 하는 말 나를 잊으라고 거리엔 흰눈이 쌓이고 내 가슴엔 사랑의 슬픔이 피어나지 못할 눈꽃이 되어 빈 가슴을 적시네  아 속삭이듯 다가와 나를 사랑한다고 아 헤어지며 하는 말 나를 잊으라고 거리에 흰눈이 쌓이고 내 가슴엔 사랑의 슬픔이 그대 가슴 안에 흩어져버린 눈꽃이 되었나요
1987.05.14~05.20,9,59258,담배가게 아가씨,송창식,송창식 골든 제3집,1988.10.03,Folk,송창식,우리동네 담배가게에는
1987.05.14~05.20,10,2036558,내마음의 보석상자,해바라기,89 해바라기 (사랑으로 / 사랑의 진실 / 나는 자유인인가),1989.12.01,Folk,이주호,난 알고있는데 우리는 사랑하고 있다는 것을 우린 알고 있었지 서로를 가슴깊이 사랑한다는 것을 햇빛에 타는 향기는 그리 오래가지 않기에 더높게 빛나는 꿈을 사랑했었지  가고싶어 갈수 없고 보고싶어 볼수 없는 영혼 속에서  가고싶어 갈수 없고 보고싶어 볼수 없는 영원 속에서  우리의 사랑은 이렇게 아무도 모르고 있는것 같아 잊어야만 하는 그 순간까지 널 사랑하고 싶어  가고싶어 갈수 없고 보고싶어 볼수 없는 영혼 속에서  가고싶어 갈수 없고 보고싶어 볼수 없는 영원 속에서  우리의 사랑은 이렇게 아무도 모르고 있는것 같아 잊어야만 하는 그 순간까지 널 사랑하고 싶어 잊어야만 하는 그 순간까지 널 사랑하고 싶어
