time,rank,song_id,title,singers,album,date,genre,creator,lyric
2012.05.27~06.02,1,3795586,하루 끝,아이유,스무 살의 봄,2012.05.11,Dance,김이나,Monday Better day 처음처럼 설레이는 그런 날 Sunday Better day 종일 너만 생각하는 그런 날 욕심이 나 우리 사이 요만큼만 더 가까이 딱 한 발짝 그만큼 더 가까이 혼잣말이 속삭임이 너도 궁금할 순 있잖아 네가 좋아서 그래 나 차가운 척 표정 짓고 있지만 내 마음은 그게 아닌데 거짓말인데 바보 같은 네가 난 답답해 너무 좋아서 그래 나 시무룩한 얼굴하고 있지만 또 기다리다 고민만 하다 흘러가는 하루 끝에서 하는 말 내가 널 사랑해 One day Holiday 혼자 있긴 너무너무 싫은 날 One day Cloudy day 울 것처럼 하늘도 찌푸린 날 눈물이 와 서글픈 내 맘을 닮은  눈물이 와 꾹 참았다 쏟아지는 내 맘이  온 하늘에 온 세상에 그저 슬픈 건 아닐 거야 네가 좋아서 그래 나 차가운 척 표정 짓고 있지만 내 마음은 그게 아닌데 거짓말인데 바보 같은 네가 난 답답해 너무 좋아서 그래 나 시무룩한 얼굴하고 있지만 또 기다리다 고민만 하다 흘러가는 하루 끝에서 하는 말 내가 널 사랑해 내 입술엔 거짓말 내 눈 속엔 정말 하고픈 말 맘속에 숨어 있는 말 많이 좋아서 그래 뒤돌아서 느려진 발걸음을 봐 널 기다리는 맘인 거잖아  날 지켜본 너라면 알잖아 내가 몰라서 그래 네 마음이 들리게 내게 말해줘 손 내밀면 될 것 같은데 망설이는 이유가 나와 같다면 이제 다가와 줘
2012.05.27~06.02,2,3783041,Twinkle,소녀시대-태티서(Girls`Generation-TTS),`Twinkle` Mini Album,2012.04.30,Dance,서지음,"The twinkle, twinkle  The twinkle, twinkle 숨겨도 twinkle 어쩌나 눈에 확 띄잖아  베일에 싸여 있어도  나는 twinkle 티가 나 딴 사람들도 다 빛나는  나를 좋아해  끝까지 경계해야 해  보석을 훔친 너잖아 늘 나의 곁을 지켜줘  내 주위만 맴돌아  눈을 떼지 말아줘  내 매력에 빠져 숨겨도 twinkle 어쩌나 눈에 확 띄잖아  베일에 싸여 있어도  나는 twinkle 티가 나 난 미지의 세계 시간을 잊어버릴걸  아침에 눈을 떠봐도  꿈은 계속될 거야 난 너를 위해 꾸미고  더 예쁘게 날 반짝일래  왜 너만 혼자 몰라 나의 진가를 숨겨도 twinkle 어쩌나 눈에 확 띄잖아  베일에 싸여 있어도  나는 twinkle 티가 나 너무 태연해 너무 뻔뻔해 밖에는  날 소원하는 줄이 끝이 안 보여 말도 안되게 넌 너무 담담해  난 하늘 아래 떨어진 별 숨겨도 twinkle 어쩌나 눈에 확 띄잖아  베일에 싸여 있어도  나는 twinkle 티가 나 그대의 twinkle 나를 봐 어딜 봐  나를 봐 칙칙한 옷 속에서도  나는 twinkle 태가 나 숨겨도 twinkle 어쩌나 눈에 확 띄잖아 베일에 싸여 있어도  나는 twinkle 티가 나"
2012.05.27~06.02,3,3791867,목소리 (Feat. 개리 Of 리쌍),백지영,Good Boy,2012.05.17,Ballad,"이단옆차기,개리",니 목소리가 들려 니 목소리가 들려 니 목소리가 들려 내 귓가에 파도소리 아무도 없는 것 같아  아프게 홀로 서있는 난 Cuz I’m so lonely  울지 말자 했잖아 바다만 보러 왔잖아  이제는 그만 이제는 그만 이제는 그만 이제는 그만  떠나지 않는 내 귓가에 그의 목소리  너를 떠나 보냈는데 자꾸 들리는 목소리  난 눈을 감아도 또 숨을 참아도  들려 그 놈 목소리 아프게 더 날 나쁘게   만드는 그 놈 목소리 난 볼 수도 없고 만질 수도 없는  너를 저 파도 속에 다 흘려 보내   부서지는 파도 그처럼 아프다 내 맘도 서럽게도 시간이란 놈은 잘도 흘러간다 아무리 잡고 잡으려 해도 파도처럼 너는 왔다 가고 너보다 잘난 사람 백 명이 와도 사랑하기 싫다 너 말고 가슴 아픈 이별마저도 잡고  놔주고 싶지 않아  상처라도 갖고 다 주고 싶지 않아 왜 하필 나야 영원히 널 갖지 못하는 게 이게 다야 우리 사랑이란게 차라리 잘해주지 말지 못된 사람 하루도 제대로 못 살아 이게 뭐야 참고 참아도 버리고 버려도 내 맘에 다시 돌아오는 건 너야 술을 마셔도 거릴 걸어도 혼자 떠나도 파도처럼 나를 다시 덮치는 건 너야 너를 떠나 보냈는데 자꾸 들리는 목소리  난 눈을 감아도 또 숨을 참아도 들려 그 놈 목소리  아프게 더 날 나쁘게 만드는 그 놈 목소리  난 볼 수도 없고 만질 수도 없는  너를 저 파도 속에 다 흘려 보내   파도처럼 너는 다시 왔다 가고 하루하루 그리움에 나는 살고 참고 참아도 버리고 버려도 내 맘에 다시 돌아오는 너를 안고 난 살아가 매일매일 니 목소리에 니 목소리가 들려 매일매일 내가 죽을 것 같애 입을 막고 서글퍼라 평생 울 것을 다 울어 이제야 알겠어 눈물이 많단 걸 나도 결국 여자야 아프게 더 날 나쁘게 만드는 그 놈 목소리  난 볼 수도 없고 만질 수도 없는  너를 저 파도 속에 다 흘려 보내
2012.05.27~06.02,4,3763493,나혼자 (Alone),씨스타,ALONE,2012.04.12,Dance,용감한형제,Whoo Whoo Whoo Whoo  I don't wanna cry Whoo Whoo Whoo Whoo  Please dry my eyes Whoo Whoo Whoo Whoo  I'm fallin' down Whoo Whoo Whoo Whoo  Without you I'm fallin' down 추억이 이리 많을까  넌 대체 뭐할까  아직 난 이래 혹시 돌아 올까 봐  나 절대 이런 애 아닌데  이런 적 없었는데  사랑 너무도 독해  아직도 못 깼나 봐  너무도 달콤한 니 말에 속아  이제와 혼자 I'm falling down  I'm falling down  차라리 만나지 말걸 그랬어  이렇게 될 줄 몰랐어  이토록 쉽게 우린 끝인가요  왜 또 나혼자 밥을 먹고  나혼자 영화를 보고  나혼자 노래하고 이렇게  나 울고 불고  넌 떠나고 없어  후회해도 소용없어  오늘도 나혼자 Whoo Whoo Whoo  Whoo Whoo Whoo Whoo Whoo  나혼자 길을 걷고  나혼자 TV를 보고  나혼자 취해 보고  이렇게 매일 울고 불고  사랑 참 달콤했어  이별이란 그림자 안에서  오늘도 잠 못자  Whoo Whoo Whoo  Whoo Whoo Whoo Whoo  Don't tell me it's over  날 안아줘 도대체  내게 넌 왜 이러는데  Oh Ma boy Whoo Whoo Whoo 오늘도 나 눈물로 지새워  너무도 달콤한 니 말에 속아  이제와 혼자  I'm falling down  I'm falling down  차라리 만나지 말걸 그랬어   이렇게 될 줄 몰랐어  이토록 쉽게 우린 끝인가요  왜 또 나혼자 밥을 먹고  나혼자 영화를 보고  나혼자 노래하고  이렇게 나 울고 불고  넌 떠나고 없어 후회해도 소용없어  오늘도 나혼자  Whoo Whoo Whoo  Whoo Whoo Whoo Whoo Whoo  나혼자 길을 걷고  나혼자 TV를 보고  나혼자 취해 보고  이렇게 매일 울고 불고  사랑 참 달콤했어  이별이란 그림자 안에서  오늘도 잠 못자  Whoo Whoo Whoo  Whoo Whoo Whoo Whoo  참 뻔하디 뻔한 너의 그런 빈번한  거짓말에 또 속았어 아주 값싼 니 미소에 홀린 날 갖고  너 재미있게 놀았어 이제와서 뭘 어쩌겠어 그리움에  갇혀 나혼자서  니가 버린 내 맘 공허해 꼭 버려져  텅빈 거리 같아  Whoo Whoo Whoo Whoo I don't wanna cry Whoo Whoo Whoo Whoo  Please dry my eyes Whoo Whoo Whoo Whoo  I'm fallin' down Whoo Whoo Whoo Whoo Without you I'm fallin' down
2012.05.27~06.02,5,3808405,2HOT,지나,BLOOM,2012.05.22,Dance,최갑원,R U Ready Hey 거기 나를 보고 울부짖는 늑대 Wooh 어쩌니 내 취향이 너무 아닌 듯 해 Wooh 엄머머머 뒤로 붙지마 엄머머머 자꾸 어딜 봐 아찔한 너의 끝엔 뭐가 있길래 R U Ready 오늘 밤 I'm so hot 난 너무 뜨거워 Hey Mr Hey sister 저리 비켜 줘 어때 Hot so hot 느낌을 원하니 R U Ready I'm ready Oh baby very very hot 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 궁금해 나를 보고 어떤 상상하니 Wooh 왜 그래 사과처럼 얼굴이 빨갛니 Wooh 엄머머머 고민 하지마 엄머머머 어서 말해 봐 짜릿한 내 어디가 뭐가 좋으니 R U Ready 오늘 밤 I'm so hot 난 너무 뜨거워 Hey Mr Hey sister 저리 비켜 줘 어때 Hot so hot 느낌을 원하니 R U Ready I'm ready Oh baby very very hot 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 Wooh Wooh Wooh Wooh Wooh Wooh Ma ma ma boo Ma boo 어디 있니 Ma ma ma boo Ma boo 숨었니 가만히 올까 말까 망설이지마 R U Ready 오늘 밤 I'm so hot 난 너무 뜨거워 Hey Mr Hey sister 저리 비켜 줘 어때 Hot so hot 느낌을 원하니 R U Ready I'm ready Oh baby very very hot 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 뜨거 뜨거 난 너무 뜨거워 Hot
2012.05.27~06.02,6,3800393,I 돈 Care (Feat. 서수민PD),용감한녀석들,용감한 녀석들,2012.05.14,Rap / Hip-hop,이영준,show me the money 돈 없으면 바보가 되는 세상  give me the money 돈만 주면 뭐든 다 되는 세상 술에 취한 밤 나는 택시를 타고 집으로가 도착이란 두 글자가 나의 귓가를 맴돌 때 지갑이 없어진 걸 뒤늦게 알게된 나 다급해진 목소리로 엄마에게 전화를 건다 엄마 나 지금 택시비가 모자른 것 같아 엄마 요금은 35000원을 향해 달리고 거의 다 온 것 같은데그러니  엄마 엄마 엄마 show me the money 돈 없으면 바보가 되는 세상  give me the money 돈만 주면 뭐든 다 되는 세상 주머닐 털어 털어 털어 뒤져서 나오면 백원에 한 대  적금을 쪼개 쪼개 쪼개  원금을 못 건져도 쪼개 술담배 끊어 끊어 끊어 인생 돈이 전부야 엄만 날 버렸다 돈 돈 그놈의 돈 엄마를 뒤로 한채 문득 그녀 생각이 났다  지금 내 심정 알아 줄 사람은 바로 그녀 난 너에게로 간다 아저씨 차 좀 돌려주세요 자기야  내 말 오해하지 말고 잘 들어 응 자기야 지금 택시비가 없어 너희 집앞으로 갈께 원래는 35000원 지금은 5만  show me the money 돈 없으면 바보가 되는 세상  give me the money 돈만 주면 뭐든 다 되는 세상 주머닐 털어 털어 털어 뒤져서 나오면 백원에 한 대 적금을 쪼개 쪼개 쪼개 원금을 못 건져도 쪼개 술담배 끊어 끊어 끊어 인생 돈이 전부야 그놈의 돈 때문에 어딜가나 돈 때문에 사람 인생 하나 바뀌는 건 시간문제 그놈의 돈 때문에 어딜가나 돈 때문에  사람은 물고 뜯고 싸움을 즐기며 살아가지 돈 때문에 두 눈을 감고 니가 보고 싶은 세상을 봐  두 귀를 막고 니가 듣고 싶은 세상 얘길 들어 그래도 안 될 놈은 안돼 넌 안돼 안돼 발바닥에 땀나도록 쉴새 없이 달려온 나  우유배달 30만원  편의점알바 60만원  카파라치 다섯건  하지만 등록금은 뭐 2000만원 배보다 배꼽이 더 큰 세상 내돈 내돈 내돈 한숨을 거둬 있다가도 없는게 돈이잖아 고개를 들어 돈 따위로 결코 무릎 꿇지마 몸으로 때워 때워 때워 잘 못 맞으면 뼈 부러져 악으로 버텨 버텨 버텨 대충하다간 둘 다 죽어 세상을 살아 살아 살아가 다 내 돈이야 내돈
2012.05.27~06.02,7,3804268,Good Boy (Feat. 용준형 Of 비스트),백지영,Good Boy,2012.05.17,Dance,이단옆차기,내 말도 잘도 듣는 Good Boy 시키는 건 모두 척척 잘도 해 말썽 피면 바로 bad boy 칭찬해주면 점점 기어올라 그러던 니가 잘해주니까 여기가 어디라고  온갖 재주 부려 헐 오오오오오 오 mama boy 잔머리 굴리다가 한 순간 너도 끝이야 사랑은 독해 나 원래 독해 여자를 쉽게 봤다간 결국 니가 당해 오냐 오냐 했더니 잘한다 잘한다 했더니 정말 진짠 줄 알어 어 어 어 사랑에 미친 너에게 닥친  뻔한 사랑의 결말 거칠어진 말투 지 멋에 터프가이 말마다 거짓말 뿐 얼굴도 안 변하고 내 손바닥 위에 넌 넌 놀아나 누굴 또 속이려고 어리광 피우지 마 그러던 니가 잘해주니까 여기가 어디라고  온갖 재주 부려 헐 오오오오오 오 mama boy 잔머리 굴리다가 한 순간 너도 끝이야 사랑은 독해 나 원래 독해 여자를 쉽게 봤다간 결국 니가 당해 오냐 오냐 했더니 잘한다 잘한다 했더니 정말 진짠 줄 알어 어 어 어 날 들었다 놨다  니 맘대로 또 왔다 I'm not your mama 이 거지 같은 드라마 날 들었다 놨다 니 맘대로 또 왔다 I'm not your mama 이 거지 같은 드라마 드라마 드라마 I hate this love game I treat you like a queen 근데 넌 왜 내 주인이 됐니 항상 너는 되고 난 안 돼 난 밀리고 넌 밀기만 해  어리다고 좀 말하지 마 니 하는 짓이 참 어리잖아 What you say blah blah blah blah oh mama oh mama boy 네가 아주 잘 깎아 놓은  틀에 맞춰진 난 puzzle 사춘긴 지난 것 같은데  유치해 그만 좀 짖어대 내 발 밑에 너란 살얼음  이젠 좀 지치거든 허 참 잘해주니까 주인을 물어 you better run 사랑은 독해 나 원래 독해 여자를 쉽게 봤다간 결국 니가 당해 오냐 오냐 했더니 잘한다 잘한다 했더니 정말 진짠 줄 알어 어 어 어 너도 똑같애 나도 참 딱해 너 같은 놈 믿고 맘 준 내가 더 불쌍해 오냐 오냐 했더니 잘한다 잘한다 했더니 정말 진짠 줄 알어 어 어 어 날 들었다 놨다  니 맘대로 또 왔다 I'm not your mama 이 거지 같은 드라마 날 들었다 놨다  니 맘대로 또 왔다 I'm not your mama 이 거지 같은 드라마 드라마 드라마
2012.05.27~06.02,8,3798160,아름다운 밤,울랄라세션,ULALA SENSATION Part 1,2012.05.10,Dance,싸이(PSY),오우 내 눈 속에 널 그리고 니 눈 속에 날 우린 야경처럼 반짝거리네 나는 널 채우는 샴페인 너는 날 깨우는 카페인 그대와 나의 밤이 아름다운 밤이 영원하도록 집에 가지 말아요 Baby 몇시까지 집에 가야하니 헤어지기 싫어 어떡하지 눈 딱 감고 말야 후딱 빠져 놀자 너나 나나 이제 시작이야 오늘 밤은 영영 오지 않아 정녕 지금 당장 전화 걸어 엄마에게 늦는다고 친구네 집이라고 배터리 없다고 전화기 끄라고  Everybody 세상 간섭 받지 않는 우리 아무 것도 상관 없는 우리 아낌없이 남김없이 우리 Baby baby baby 아름다운 밤 아름다운 밤 이렇게 예뻐도 되나 싶을 정도로 이런 이기적인 아가씨야 뭘 쫌 아는 내가 널 쫌 사랑한다 역사는 깊은 밤 이뤄진다 감성 충만한 밤 감정 충분한 밤 다시 한번 전화 걸어 엄마에게 늦는다고 친구네 집이라고 배터리 없다고 전화기 끄라고  Everybody 세상 간섭 받지 않는 우리 아무 것도 상관 없는 우리 아낌없이 남김없이 우리 Baby baby baby 아름다운 밤 아름다운 밤 Everybody Everybody 세상 간섭 받지 않는 우리 아무 것도 상관 없는 우리 아낌없이 남김없이 우리 Baby baby baby 아름다운 밤
2012.05.27~06.02,9,3796159,나쁜놈 (Feat. 소야),마이티마우스,나쁜놈,2012.05.10,Dance,"상추,쇼리",내게 다가 다가와 살며시 안아줘 이제 달콤 달콤한 사랑을 말해줘 니가 자꾸 자꾸만 생각나 어떡해 도대체 넌 내 맘을 왜 몰라  내 맘을 다 훔쳐간 나쁜 놈 내 맘을 다 가져간 나쁜 놈 내 맘을 너무 몰라 나쁜 놈 내 맘을 뺏어 간 나쁜 놈 널 사랑해 그래 백이면 백 날 보면 날라 다닐 거라 말하지 그런 내게 제일 못하는 것  바람바람 피는 거 한 눈 파는 것 끼 부리는 거 뻥 치는 거 걱정 마 내 인생의 좌우명 이 세상에 비밀은 없다 나의 천사가 되어줄래 너 말곤 아예 다른 여잔 전부 다 돌로 볼게 약속해 내가 키 클 때까지 이런 내가 나쁜 남자 oh no 바로 진짜 남자지 내게 다가 다가와 살며시 안아줘 이제 달콤 달콤한 사랑을 말해줘 니가 자꾸 자꾸만 생각나 어떡해 도대체 넌 내 맘을 왜 몰라 내 맘을 다 훔쳐간 나쁜 놈 내 맘을 다 가져간 나쁜 놈 내 맘을 너무 몰라 나쁜 놈 내 맘을 뺏어 간 나쁜 놈 널 사랑해 아니 모르긴 뭘 몰라 나도 매일 보고파  딱 기다려 널 데려갈 오빠 출발했어  I can't stop don't stop you driving me so crazy I want you to be my baby my queen 1st lady 한마디로 넌 amazing 내가 바람둥이란 말은 오해  나를 만나면 깜짝 놀래 I'm not a playboy badboy call me mr one love 우린 다음주에 손을 꼭 잡고 영화를 보고 있을 거라고 넌 내꺼 내꺼 내꺼 내꺼 날 미치게 만든 너야 말로 bad girl 내게 다가 다가와 살며시 안아줘 이제 달콤 달콤한 사랑을 말해줘 니가 자꾸 자꾸만 생각나 어떡해 도대체 넌 내 맘을 왜 몰라 내 맘을 다 훔쳐간 나쁜 놈 내 맘을 다 가져간 나쁜 놈 내 맘을 너무 몰라 나쁜 놈 내 맘을 뺏어 간 나쁜 놈 널 사랑해 bad boy bad boy 난 너만 바라보는 bad boy hello hello 나만을 바라봐줘 bad boy bad girl bad girl 너야말로 내 맘을 뺏은 bad girl  hello hello  Hey baby tell me what is good let’s go 나 좀 믿어줄래 일단 한번 믿어보시라니까 내 맘 받아줄래 알아서 모신다니까 내 모든 걸 줄게 묻지도 않고 따지지도 않고 내 전부를 줄게 trust me 날 느낀다면 love me 내게 다가 다가와 살며시 안아줘 이제 달콤 달콤한 사랑을 말해줘 니가 자꾸 자꾸만 생각나 어떡해 도대체 넌 내 맘을 왜 몰라 내 맘을 다 훔쳐간 나쁜 놈 내 맘을 다 가져간 나쁜 놈 내 맘을 너무 몰라 나쁜 놈 내 맘을 뺏어 간 나쁜 놈 널 사랑해
2012.05.27~06.02,10,3809215,너에게 배운다 (My Love),리쌍,Unplugged,2012.05.25,Rap / Hip-hop,개리,너에게 난 사랑이자  때로는 아픈 가시다  불안한 확신과 외로운 상실감  그 모든 걸 견디며  살아온 삶이다 나 몰래 뒤돌아 눈물 삼키다  떠나지 못하고  또다시 사랑에 갇힌다  니 모든 생각 니 모든 생활  중심은 항상 나에게 맞춰있다 어느샌가 또 날 위해서만 벗겨지는  너의 옷 하얀 몸 날 감싸 안는  너의 손 부드러운 입술 거친 숨  아낌없이 내 몸을 지배하고  땀에 젖는 깊은 밤의 춤 사랑일 뿐  니가 원하는 것은 나의 사랑일 뿐  험난한 삶에서도 변치 않는  하나 된 꿈 너에게 배운다  사랑을 너로 인해 채운다  이 마음을 니 마음은  내 잘못된 생각을 깨운다  태양보다 뜨거운 시간보다  영원한 니 사랑은  언제나 나를 태운다 밤이 깊어도 너는 내 꿈에  살아 숨 쉬네 살아 숨 쉬네 삶이 깊어도 너는 내 품에  늘 함께 해 늘 함께 해 My Love My Love My Love My Love 정해진 규칙 세상의  순리 그대로 살아온 너를 훔친  나는 마치 행복한 도둑놈  내 심장을 파고드는 너의 뿌린 고삐  풀린 나를 채우고 너는 내 품에  안겨 있다 너는 내 음악을  사랑한다 너는 내 상처를 사랑한다  흉터난 내 등에 아낌없이  사랑을 바른다 너의 몸 마음은 날 위해 꾸며지고  내 삶은 우리의 미래를 위해  그려진다 떠나지 마라  내가 늙어도 때로는 헛된 모험에  내가 늦어도 모든 게 무너져 버려  때론 굶어도 변할 건 없으니  날 버리지 마라  나에게 넌 마지막까지 믿을 사람  세월 흘러도 지금처럼 날 불러줘  걷지 못해도 뒤에서 나를 밀어줘  언제나 손에 잡혀줘  내 볼에 입 맞춰줘  내 노래처럼만 끝없이 곁에 있어줘 밤이 깊어도 너는  내 꿈에 살아 숨 쉬네 살아 숨 쉬네 삶이 깊어도 너는 내 품에  늘 함께 해 늘 함께 해 My Love My Love My Love My Love 너에게 사랑을 배우네  모든 게 행복해 행복해 행복해 행복해 넌 내게 사랑을 채우네  모든 게 행복해 행복해 행복해 행복해 밤이 깊어도 너는 내 꿈에  살아 숨 쉬네 살아 숨 쉬네 삶이 깊어도 너는 내 품에  늘 함께 해 늘 함께 해 My Love My Love My Love My Love
