song_id,singer_id
52441,1128
53060,101085
53018,1163
1859404,35
51275,1424
1017150,6014
1104907,101159
58160,1010
1839744,100986
1087276,43
52841,1117
104134,5856
91135,458
52156,457
52451,1128
3708777,1166
53088,102007
68931,19
53062,101085
67911,9363
2522463,9564
1874936,5761
53426,867
1839142,101599
53615,699
2036548,101012
53159,5856
53586,845
53530,1097
1839723,562
1017153,6014
51430,457
842539,4640
1080545,4640
531483,26
664262,6571
53528,1097
48931,31
1839752,100986
53535,10479
53616,699
180882,699
52443,1128
1878281,1166
3403849,5185
65728,4776
64937,966
1708676,9355
64942,966
2183426,1163
90374,101521
48926,31
55327,1069
58173,1010
53591,845
51431,457
83264,100148
531488,26
51481,25
1517332,1128
1695858,38
987812,35
49933,5856
69663,1051
1017208,40
50313,1983
1104916,101159
91373,1015
91462,845
51433,457
65720,4776
3403850,5185
52004,19
49551,25
1104921,101159
51471,936
48940,699
51930,31
1839784,100986
61514,100148
51976,26
57615,845
91374,1015
49582,1010
49353,17652
1878583,5693
1003590,10344
1010210,12215
51685,966
91384,43
49565,4838
49560,11303
49541,25
49668,44
33940,6643
108197,1538
49838,457
1517351,1128
49473,101159
49808,827
91058,4776
91386,904
57623,845
18187,22
49494,845
64056,15
104668,1097
90355,6014
49544,25
50012,100161
463542,942
1414786,1176
3403869,5185
1136819,182233
1585643,100148
49035,100149
174589,881
45926,922
83360,1424
78782,3948
1707087,38
3085752,5282
50733,100148
317904,34
176479,5083
50014,100161
608252,43
1839184,100986
91406,437
1839185,100986
57519,889
91396,17
2118735,17
50943,101737
91403,1010
54766,100161
54041,9969
57531,25
54227,100025
64060,15
106047,11373
54975,8996
54974,8996
111572,1424
193014,1097
54414,101781
54376,458
56288,25
91408,5685
3622706,746
91407,15
54517,698
1517671,698
55040,100977
532100,26
57339,45
55543,100161
1847750,29
2119075,508
91112,4563
91110,31
536778,3624
56880,889
56243,100148
56251,38
91435,25
1839234,100986
56245,100148
532083,26
16936,942
170153,4267
55584,43
176473,5083
56084,17
54503,15
434162,5154
54182,101464
91423,889
109279,101989
2323160,100080
842521,15
56227,101637
56870,889
57583,437
2183382,1424
418014,872
108385,7844
1675281,100977
91114,1190
57513,525
172354,457
1877188,192740
32442,101177
56675,827
56449,7187
1931126,261309
55991,100594
57211,100025
3363619,101465
91475,956
2796367,4764
32676,106610
33571,100149
997784,6435
38757,39
39348,5964
58967,17
61500,100169
851719,34
91470,100161
524811,15
61829,100514
2981592,2960
58966,17
59448,898
58937,25
1675279,100977
59078,6565
61798,100179
37036,100193
60807,932
91484,1010
60100,889
1839375,100005
91487,1130
62098,100148
1514219,1030
61240,5675
170430,4991
104941,1424
32611,106610
62458,889
1698066,43
171315,1538
62462,889
1622501,100026
66104,101159
62922,525
3655080,9733
66240,106610
66366,100015
66052,100020
1675397,100977
91491,1133
66105,101159
66261,100037
58506,1087
66310,100025
66311,100025
63313,437
33146,100005
63343,45
32854,180144
63699,26
104067,22
66475,101649
63353,5758
65305,932
66507,101465
66362,100015
64242,1130
66263,100037
66729,100149
1839641,983
64313,100161
66737,100149
66363,100015
524808,15
14221,100985
66411,100194
1606445,100059
1761798,100179
62847,1424
1046280,1010
38651,4764
1675592,5136
64485,17
1622512,100026
64561,898
64025,957
67069,100025
62846,1424
67072,100025
1606447,100059
37171,106610
1185237,100005
33206,100984
33206,100984
33189,100061
38919,31
485161,4764
2961489,100198
67477,100161
1876466,9485
38083,100187
1185239,100005
14237,100985
64565,898
70440,101640
67561,1087
55272,1097
1622510,100026
70600,100037
67691,437
1185241,100005
70685,100015
67724,25
67832,34
69620,5675
38445,889
70679,100169
106885,845
1719746,855
33191,100061
70896,100057
70994,106610
39173,100148
67726,25
70681,100015
33089,100005
68266,100161
70486,100177
38443,889
518550,101563
70696,100169
38807,39
1606430,100059
2277092,17
71032,100141
68743,942
2743596,437
68322,1133
68799,3614
983247,100045
1675531,100042
68709,43
1606428,100059
71554,100061
71198,100194
67962,1091
71608,100008
842808,1107
71033,100141
38585,4764
68994,1424
69198,898
38393,15
68913,1010
71501,100053
1606431,100059
1839666,983
71606,100008
71766,100004
91241,100025
38587,4764
48914,26
91249,100169
68902,1123
37832,100149
32652,106610
70148,3854
91245,100142
69343,6212
86317,100043
37571,100977
1675485,100042
1839667,983
72166,956
1839527,5192
69302,5973
71502,100053
73199,1034
1522467,9087
37591,100977
73257,1100
73896,100177
72708,1083
74113,100037
71581,100101
72307,100020
91534,1130
91255,100019
91257,100045
72689,19
74288,100052
74260,100045
1500836,3897
72165,956
526820,1142
91262,100057
91261,100054
176202,101088
74459,100008
91254,100177
38662,895
9390,100005
91256,100019
78853,100004
72698,1008
91264,100008
74372,100054
74289,100052
69196,898
526821,1142
91273,100053
74882,1055
68079,7063
37501,100028
667127,5675
1722259,4838
1708683,102067
74951,1164
1865508,1164
2323456,100023
74387,100130
1877126,1107
91275,100170
1606414,100059
75440,1091
76227,26
75835,11352
76657,100052
37845,100149
76252,100043
1022090,1176
47534,898
91274,100170
497120,100059
38453,889
1606413,100059
78184,100016
46796,2924
91268,100044
76946,3854
91284,100002
38461,889
38605,1424
77536,1130
38495,15
32700,5192
77374,25
75052,2924
77363,1081
77991,956
46284,4764
77694,100004
79774,43
1762102,100179
78044,1130
78185,100016
481565,1142
78291,3614
2184574,1099
78033,1083
78633,1008
78351,100028
78002,956
1839686,983
38388,942
78713,100015
33590,845
437146,100061
38698,895
1139650,3897
78944,100053
79367,1868
38547,1177
78630,1008
33268,100065
481561,1142
38003,1873
79372,1868
79951,100052
2184575,1099
83721,1100
81526,100035
33273,100065
38548,1177
80067,100010
1184746,1008
2962321,1008
78451,1087
80414,1870
534607,100130
1816948,969
38030,925
80416,1870
80473,100008
80323,100712
32729,5192
1627767,15
80414,1870
2683765,100043
1606672,100059
79740,1100
80649,100044
81013,100052
33271,100065
1073473,1100
75068,100016
81547,1175
534604,100130
33728,925
91307,100094
1816950,969
81075,100001
1606670,100059
32728,5192
12989,3092
91299,100008
46632,1130
88119,1130
1877177,1107
83437,6017
66554,100004
4383670,437
1786618,2071
80697,984
91309,100007
91310,100022
84736,100127
38571,1177
81788,26
37123,106610
81876,100054
1722260,4838
38466,942
1177976,1099
82070,1142
91314,100057
83138,101714
489870,1008
611573,1010
38574,1177
85861,100078
38751,895
38468,942
85534,956
82633,100065
82877,1142
38634,1424
489872,1008
1073524,1008
105827,100057
83891,100020
83208,1100
91232,908
1839720,2010
83803,3854
78555,100055
38520,15
1710278,100977
83777,100028
4123388,1008
83471,1100
2554061,932
504835,101509
83326,100055
83181,100032
81920,1118
1786635,2071
83443,100021
84019,100120
611584,1010
83671,4044
1139375,969
83816,100052
84781,100008
91317,100130
82602,100021
84229,100073
85185,1100
83505,3854
37989,1081
86077,100127
1786642,2071
33042,100200
83693,100052
85258,3895
85291,100990
1698079,43
104083,1379
85410,100016
85844,100177
85311,100094
85257,3895
1139376,969
38541,889
91320,100022
105690,100065
91324,100007
422691,969
