word,count
내,12345
난,8014
날,6384
you,6134
널,5968
그,5917
수,5731
I,5530
내가,5277
나,4809
나를,4625
너를,4499
그대,3730
너의,3611
더,3599
나의,3486
다,3389
다시,3386
또,3223
love,3101
이,3073
너무,3069
me,3053
my,3049
내게,3013
너,2791
the,2731
니가,2564
나는,2509
넌,2492
왜,2491
이젠,2311
없는,2288
사랑해,2210
it,2190
우리,2144
사랑,2125
걸,2105
모두,2055
이렇게,2037
to,1989
한,1977
없어,1897
니,1858
이제,1850
사람,1836
baby,1779
말,1779
정말,1753
그댈,1584
있어,1560
사랑을,1534
함께,1527
것,1483
oh,1441
Oh,1327
your,1308
있는,1277
해,1269
모든,1247
그렇게,1244
네,1230
and,1218
be,1218
I'm,1205
두,1205
사랑이,1198
on,1197
너와,1181
다른,1173
지금,1166
않아,1157
할,1157
You,1151
a,1136
in,1131
눈물이,1122
그대가,1091
곁에,1056
같은,1055
속에,1044
너는,1029
건,1026
사랑은,1023
언제나,1023
맘,1019
싶어,1018
이런,1015
위해,1006
girl,1003
잘,1002
항상,996
그대를,996
보고,983
없이,981
하지만,978
그런,951
저,949
나도,949
wanna,944
제발,921
go,921
자꾸,917
못,906
네가,906
영원히,904
눈을,899
봐,898
아직,895
for,891
up,884
세상,882
많이,880
같아,878
so,875
마음,868
늘,841
꼭,840
know,836
don't,832
어떻게,818
맘을,818
돼,816
우린,816
때,809
눈물,802
거야,801
몰라,790
해도,788
그래,786
너에게,776
is,775
이제는,773
너만,758
want,755
가슴,752
like,739
가슴이,729
매일,725
one,723
하나,720
with,717
i,716
줄,714
많은,710
손을,709
수가,703
아직도,701
좋아,701
말을,696
그냥,689
that,685
My,681
just,676
오늘도,670
참,659
그댄,657
do,652
너무나,651
모습,642
시간이,639
오늘,634
게,634
볼,632
단,624
혼자,623
때문에,622
내겐,619
come,617
Baby,616
Love,616
yeah,614
get,612
밤,610
안,599
작은,595
눈이,595
가슴에,594
나와,593
하고,593
그대의,591
좀,590
마음을,586
있다면,582
하는,581
오직,578
있게,576
그저,573
can,571
한번,569
이미,562
좋은,559
마지막,548
아픈,544
오,540
미안해,536
say,535
of,525
바로,522
we,521
U,518
못해,512
나에게,511
순,510
no,504
슬픈,503
all,502
얼마나,501
다신,497
need,497
네게,491
la,491
사랑에,490
이대로,485
아무,482
하지,480
안에,479
got,479
알고,478
괜찮아,477
세상에,477
말도,477
시간,477
꿈을,474
what,474
let,468
멀리,466
싶은,465
그래도,465
feel,465
너도,462
그게,462
그만,461
말아요,461
make,460
않는,456
눈,455
time,454
못한,453
now,452
u,451
어떤,449
this,447
만큼,446
세상이,446
Hey,444
울고,444
life,441
아름다운,439
말고,437
never,435
같이,431
down,430
stop,427
돌아와,425
can't,425
gonna,425
알아,422
Yeah,422
back,419
절대,418
가는,418
번,418
아닌,417
안돼,414
아주,412
Don't,411
사랑하는,410
사랑한,410
쉽게,409
누가,407
그대와,406
사랑해요,403
처음,402
그대는,401
잊고,400
사랑했던,398
아무리,398
나만,398
are,397
아무것도,395
하루,395
it's,394
잊지,392
듯,391
기억,391
눈물을,389
원해,389
Just,388
조금,388
사랑할,388
일,388
보면,387
길을,386
싫어,385
다시는,384
heart,381
맘이,380
bye,380
흘러,378
right,377
사람이,377
떠나,376
day,375
조금씩,372
앞에,371
찾아,370
우리의,369
hey,366
먼저,365
맘에,364
향해,361
손,361
tell,361
사는,360
자꾸만,360
와,359
눈에,358
하나만,356
다가와,355
혹시,352
내게로,352
마,351
그대로,349
순간,348
너만을,348
바래,346
못하고,346
boy,346
없는데,343
될,342
여자,341
yo,340
서로,340
땐,339
않게,337
행복해,336
떠난,336
사랑도,335
잊을,334
I'll,334
세상을,331
지난,331
보며,330
사랑한다,330
night,330
하지마,330
그리워,330
It's,330
알,328
두고,327
가,325
척,323
마치,323
바보처럼,323
모든걸,321
이상,320
있잖아,320
바보,320
봐도,319
위한,318
사랑한다고,315
줘,312
있는데,311
하늘,309
more,307
채,307
여기,304
싶은데,304
아무도,302
사랑의,302
하얀,301
마음이,300
way,300
그대여,299
되어,299
why,298
했던,297
온,297
ma,297
웃고,295
말이,295
tonight,294
어느새,293
속,293
안녕,293
The,292
했어,291
그대만,291
있죠,291
La,291
미쳐,290
행복한,288
노래,285
가지마,283
언젠가,282
will,281
힘이,281
good,281
그리고,280
기다려,280
모든게,280
벌써,280
사랑이란,280
버린,279
잡고,277
계속,276
품에,276
멋진,276
사랑하고,276
Come,275
cry,275
차라리,274
힘든,274
살아,273
소중한,273
한번만,273
곳에,272
달콤한,272
가끔,272
모르는,270
보는,270
아파,270
아프게,269
Bye,269
애써,268
남아,268
모습이,267
어떡해,267
누구도,265
잠시,265
Let,265
버리고,265
우리가,265
향한,265
눈물로,264
Let's,264
길,264
있을,264
속에서,263
깊은,262
있을까,262
갈,262
나만의,261
uh,260
가득,260
body,260
but,259
살,259
안고,258
자,257
&amp;,257
끝까지,257
No,256
위해서,256
forever,255
남은,255
크게,255
밖에,254
없죠,254
모르고,253
몰래,253
아니,251
믿고,250
얼굴,250
따라,250
그녀,250
아냐,248
어느,248
때론,248
가슴을,248
take,247
이별을,246
사랑아,246
것만,245
again,245
말은,243
you're,243
모르게,242
가까이,242
새로운,242
가고,241
수도,241
사람을,240
기억해,240
about,240
남자,240
것도,239
give,239
흐르는,239
홀로,239
그땐,238
아니면,238
only,238
조금만,238
let's,237
어쩌면,237
오늘은,237
있나요,236
뜨거운,236
추억,235
그녀가,235
숨이,235
전에,235
않을,234
그래서,234
큰,234
Girl,234
Me,234
누구보다,234
아,234
춤을,233
것처럼,232
없잖아,232
들어,232
보여,231
않고,231
가진,230
말해,230
이름,230
것을,228
우릴,228
한마디,228
하루가,228
않은,226
점점,226
되는,225
있어요,225
만나,225
사랑한단,224
가장,224
없던,224
여전히,224
아파도,224
Do,223
뿐,223
둘이,223
사람들,223
see,222
생각,222
올,221
모습을,221
빨리,220
아니야,220
몸을,220
무슨,220
나에겐,220
우리는,220
것이,219
있으면,219
뭘,219
밤이,219
모두가,218
있어도,218
거라고,218
위로,217
몇,217
everybody,217
없다고,216
준,216
예쁜,216
봐요,216
이제야,215
곁에서,215
그때,215
때까지,215
같아서,215
못하는,215
소리,214
가지,214
아무런,213
끝이,213
없어도,212
crazy,212
지친,211
긴,211
가슴은,211
시간을,211
말해줘,210
away,210
추억이,210
울지,210
O,209
원하는,209
미소,208
못할,207
그대에게,207
거짓말,207
타고,205
만난,205
dance,205
힘들어,204
느낄,203
수많은,203
이별,203
ya,203
시간은,203
하늘을,203
숨을,203
마음에,203
비가,203
하루도,203
못난,202
mind,201
You're,199
by,199
떠나지,199
결국,199
맘은,199
끝내,198
생각에,198
man,198
세상은,198
사람은,198
두려워,197
shake,197
마음은,197
사랑한다는,197
없인,197
-,196
웃으며,196
없을,196
날이,196
어서,195
눈빛,195
목소리,195
웃는,194
죽을,194
We,194
얘기,193
보다,193
아파서,192
All,192
A,191
알잖아,191
그녀를,191
kiss,191
So,190
이게,190
Good,190
two,190
왠지,190
아는,190
나쁜,190
sorry,190
not,189
2,189
ah,189
심장이,189
눈물만,187
What,187
nobody,187
하루를,186
주고,186
believe,186
본,186
yes,186
그리,185
밤을,185
party,185
듣고,185
눈부신,184
And,184
Uh,184
거니,183
차가운,183
먼,183
만날,183
lady,183
높이,182
이별이,182
생각해,182
i'm,182
기억이,182
break,182
눈물도,181
말하고,181
마요,181
Ah,181
적,180
살고,180
때마다,180
나보다,179
alright,179
always,178
없어서,178
out,178
Go,177
E,177
Tell,177
힘들게,176
라,176
됐어,176
깊이,176
바람이,176
쉴,175
오늘밤,175
지쳐,175
돌아,174
말아줘,173
꿈,173
오랜,173
think,173
더는,172
너무도,172
보이지,172
밤에,172
그녀는,172
믿어,171
기분,171
하는데,171
된,171
One,171
갖고,170
있니,170
소리쳐,170
빠져,170
rock,169
불러,169
hold,169
하늘이,168
show,167
않아도,167
따뜻한,167
없지만,166
해요,166
서,166
그럴,166
하늘에,166
move,166
나나나,165
혼자서,165
바라보는,165
삶의,164
같은데,164
잊어,164
흔한,164
어디에,164
그녈,164
Rally,164
테니까,163
없어요,163
이별은,163
저기,163
둘,163
fly,162
없게,161
워,161
그건,161
어쩔,161
역시,161
바람,161
위에,161
도대체,160
Now,160
알게,160
대신,159
지나간,159
생각이,159
곳,159
때면,159
보낼,158
here,157
일이,157
내일,157
절대로,156
바보같은,156
있는지,155
Say,155
흔들어,155
there,155
떠나는,154
gotta,154
바라봐,154
